O3	BA_P	PM2.5	SO2	NO2	airclass
120.3	1.21	16.8	23.3	36.1	class2
107.7	0.81	14.8	4.9	45.4	class2
110.6	0.96	16.7	9.3	26.4	class2
104.5	0.81	15.9	6.1	28.6	class2
108.7	0.64	14.8	5.7	27.8	class2
120.4	0.65	15.3	7.5	31.3	class2
118.4	2.49	12.6	11.4	30.3	class2
121.3	0.95	15.9	12	49.7	class2
119.5	0.5	21.3	6.4	53.3	class2
105.5	0.5	14.8	12.2	32.3	class2
111.7	0.39	16.8	13.6	25.6	class2
117.7	0.21	14.2	10.4	22.9	class2
115.8	0.29	18.3	47.1	26.9	class2
117.3	0.16	16.7	10.8	47.1	class2
129.5	0.09	17.3	12.1	32.5	class2
113.8	0.12	18.1	10.6	31.1	class2
87.7	0.19	16.9	4.6	34	class1
90.8	0.26	17.7	10.8	37.4	class1
97.4	2.31	17	8.6	42.2	class2
85.1	2.7	15.3	10	23.4	class1
86.1	5.76	14.6	6.5	20.7	class1
99.1	0.03	14.1	11.3	27.4	class2
97.3	2.06	17.2	9.5	28.9	class2
100.3	0.18	14.7	9.9	29.5	class2
84.9	0.2	22.7	8.4	15.1	class1
91	0.26	17.6	19.4	53.6	class2
87.9	0.15	13.1	18.4	38.6	class1
84.6	0.31	13.1	29.7	33.2	class2
102	0.33	13.8	49.7	30.5	class2
118	1.12	13.4	68.2	11.2	class2
124	0.87	15	28.4	30	class2
116.1	1.21	11.9	116.8	28	class2
111.1	0.97	16.9	21	40.5	class2
125.6	1.68	16.7	51.5	16.5	class2
107.6	1.22	18.9	21.9	28.4	class2
121.6	0.61	11.2	21.7	25.9	class2
102.7	1.5	13.5	50.6	28.9	class2
114.4	1.58	27.9	60.2	38.1	class2
117.8	1.61	37.3	47.7	35.8	class2
130.9	0.69	28	47.9	34.3	class2
123.4	1.49	39.2	85.9	26.6	class2
118.6	4.67	24.7	56.8	30.8	class2
151.2	3.28	24.1	35.8	30.4	class2
107.2	0.9	21.7	23.3	40.6	class2
111.5	1.11	17.6	27.2	48.1	class2
106.7	0.73	17	7.4	24.8	class2
107.4	2.08	14.8	10.3	27.2	class2
106.5	0.77	15.5	5.6	27.9	class2
101.3	0.46	12.6	8.3	35.1	class2
96.1	0.8	17.6	7.1	26.8	class1
110.3	0.51	19.3	24.8	31.5	class2
145.7	0.47	18.5	20.1	44.7	class2
109.1	0.36	21.7	22.7	49.8	class2
113.8	0.45	19.8	19.5	39.7	class2
106.6	0.35	20.6	16.2	11.5	class2
113.2	0.38	15.8	24.9	25.5	class2
119.3	0.32	21.9	25.3	18.7	class2
112	0.41	24.7	10.5	26	class2
86.7	0.22	19.6	16.5	20.6	class1
118	0.24	19	18.3	8.5	class2
121.5	0.39	11.2	20.7	20	class2
98.1	0.39	27.3	29.2	36.4	class2
124.8	0.38	30.3	22.1	36.6	class2
103.8	0.38	23.2	33.4	28.5	class2
119.2	0.38	18.3	24	23.3	class2
113.7	0.4	21.6	27.8	45.3	class2
112.8	0.45	15.1	44.4	27.4	class2
116.4	0.48	13.6	35.6	13.4	class2
116.1	0.57	15.2	29.3	20.1	class2
110	0.64	13.4	39.3	46.3	class2
103.9	0.34	14.9	36.7	35.2	class2
84.8	0.51	15.1	23.7	22.4	class1
102.8	0.53	16.9	8.2	31	class2
109.2	0.58	17	10.4	32.2	class2
110.7	0.51	18.3	9.7	34	class2
114.7	0.43	15.7	8.5	24.4	class2
119.1	0.31	20.1	8.5	26.8	class2
112	0.35	17.7	8.2	27.8	class2
119.8	0.41	11.7	4.4	43.4	class2
109.5	0.26	13	4.7	41.2	class2
120.5	0.42	11.7	4.1	59	class2
109.1	0.18	14.2	8.5	41.7	class2
105.8	0.27	12.7	3.9	31.7	class2
109.4	0.19	10.9	11.1	26.3	class2
114.2	0.37	15.6	15.4	34.2	class2
111.4	0.31	15.1	11	35.6	class2
104.5	0.47	12.3	10.3	32.5	class2
105.4	0.19	20.7	10	30.8	class2
110.3	0.21	13.5	3.9	28.1	class2
116.7	0.19	18.9	6	23.9	class2
117.8	0.16	12.6	5.9	57.8	class2
118.8	0.16	15	8.9	21.4	class2
115.1	0.21	16.5	5.3	33.2	class2
105.3	0.19	12.6	12.1	36.9	class2
120.9	0.48	14.4	4.4	28.2	class2
112.7	0.2	10	5.3	42.3	class2
112	0.21	14.7	4.2	24.4	class2
116.5	0.17	18.3	9.5	23.3	class2
113.4	0.19	12.7	4.5	32.7	class2
117.6	0.36	13.7	4.6	39.3	class2
127.2	0.3	15.1	16.6	39.1	class2
120.5	0.41	13.5	14.7	43.5	class2
117.1	0.19	13.8	17.3	18.1	class2
107.8	0.41	15.7	6.6	16.7	class2
111.1	0.59	16.5	7.5	18.5	class2
110.1	1.28	16.8	4.7	18.7	class2
81	0.55	16	4.9	24.5	class1
110.1	0.82	15.7	7.7	15.2	class2
111.4	0.69	12.5	11.2	30.5	class2
113.7	0.72	13.2	13.8	24.2	class2
106.2	0.74	18.4	6.4	24.1	class2
105.7	0.24	11.2	5.7	21	class2
109.9	0.31	11.2	9.5	23.2	class2
115.2	0.24	12.5	5.4	26.8	class2
124	2.62	10.3	7.4	15.1	class2
105.7	0.32	13.8	8	16.6	class2
96.2	0.16	11.9	7	18.9	class1
100	0.17	14.8	6.1	20.8	class1
93.9	0.11	13.8	5.5	23	class1
112.6	0.15	12.8	6.3	25.7	class2
96.9	0.38	15.8	5.3	43.1	class2
110.4	0.06	16.5	4.7	25.2	class2
102.3	0.1	16.4	9.3	25.7	class2
110.7	0.07	17.1	8.6	20.4	class2
96.2	0.2	17.2	17.1	21.8	class1
113.4	0.17	14.9	8.3	35.8	class2
107.4	0.14	14.8	17.6	14.8	class2
109.3	0.13	16.5	9.4	25.5	class2
90.6	0.23	13.4	5.8	15.9	class1
95	0.1	15.4	9.7	18.6	class1
93.4	0.04	19	9.3	14.1	class1
94.2	0.11	15.2	5.5	33.4	class1
97.9	0.1	14.4	6.2	26	class1
100.9	0.09	13.9	4	46.7	class2
88.6	0.08	14.7	6.5	15.6	class1
99.1	0.1	12	3.9	15.9	class1
75	0.11	13.1	5.5	45	class1
105.4	0.25	13.6	12.9	14.1	class2
102.4	0.55	12.5	18.3	32.4	class2
105.5	0.57	11.8	11.5	28.6	class2
105.5	0.22	11.7	10.6	27.3	class2
100.5	0.26	13.9	9.9	27.6	class2
101.5	0.11	13	17.8	14.3	class2
95.9	0.27	17.5	8.3	52.3	class2
100.8	0.15	13.2	3.2	51.8	class2
105.5	0.08	16	8.2	55.6	class2
100.5	0.34	16.1	8.9	42.5	class2
94.6	0.39	17.5	9.2	19.3	class1
94.7	0.38	15.3	6.7	60.5	class2
96.9	0.28	14.9	30.2	28	class2
97.4	0.18	15.5	5.9	50.1	class2
103.8	0.27	14.8	6.9	30.8	class2
102.3	0.61	16.6	38.9	27.4	class2
105.6	0.28	13	6.4	33.1	class2
100.9	0.22	14.8	6	29.3	class2
98.1	0.44	14.8	12	26.9	class1
99.4	0.45	11.4	72.8	25.3	class2
109.6	0.46	12.1	54.7	25.1	class2
111.1	0.11	9.3	22.8	25.8	class2
113.5	0.08	7.4	43.2	24.3	class1
103.1	0.13	8.6	23.9	14.6	class1
88.9	0.29	8.8	4.4	22.3	class1
105.8	0.14	14	10	52.1	class2
99.3	0.12	20.5	9.5	22.9	class1
93.5	0.22	19.7	18.2	19.5	class1
110.5	0.58	16.2	14.3	51.4	class2
91	0.11	10.1	11.3	65.2	class2
82.9	0.23	11.2	30.5	20.9	class2
112.2	0.2	18.5	6.6	91.3	class2
114.7	0.25	14.2	5.2	61	class2
103.3	0.32	10.9	4.5	89.7	class2
108.2	0.23	19.5	15.1	65.4	class2
106.8	0.28	12.6	6.9	61.6	class2
112.2	0.88	11.7	10.3	78.7	class2
113	0.23	10	6.9	32.1	class2
110	2.04	11.5	7.6	33.4	class2
81.2	1.16	11.1	14.6	25.3	class1
107.9	2.84	12.2	5.7	24.2	class2
104.5	1.39	10.2	8.9	33.7	class2
105.4	1.36	10.9	11.9	19.4	class2
105	1.32	10.8	9.1	31.7	class2
70.8	1.04	18.5	7.2	60.5	class2
97.8	0.16	14.2	93.1	30.9	class2
99.2	0.2	12.5	8.3	35.4	class2
91.8	0.18	12.5	12	33.6	class1
93.7	0.13	11.3	10.1	34.6	class1
84.3	0.65	13.8	6.5	30.9	class1
87.7	0.69	7.5	8.6	28.8	class1
93.9	0.6	19.2	7.6	44.1	class2
93.9	1.42	12.5	9.3	28	class1
91.9	0.19	11.9	18.5	21.8	class1
88.3	1.17	9.8	4.5	45.9	class1
99.8	1.09	5.7	6	32	class1
94.9	0.61	4.4	9.6	22.2	class1
72.9	0.8	9.4	5.4	80.7	class1
92.6	0.78	8.1	5.5	30.6	class1
73.8	0.75	11.5	8	42.4	class1
97	1.57	15.1	8.8	46.5	class2
106.6	0.44	7.1	6.4	24.6	class1
103.4	0.36	6.6	3.1	24.5	class1
97.3	1.82	7.1	5.9	21.6	class1
102.4	0.3	7.3	10	23.4	class1
92	0.23	7.3	3.9	44.4	class1
68.9	0.23	8.3	13.4	43.4	class1
112.4	0.49	6.6	15	22.9	class1
111.6	0.17	7	17.8	26.6	class1
106.3	0.72	8.7	14.2	44.4	class2
110.1	0.59	7.2	12.7	34	class1
114.1	1.39	21.4	9.9	31.4	class2
84.4	0.34	20.5	5.9	33.9	class1
83.3	0.17	22.7	11.1	24.8	class1
74.4	1.23	14.7	4.3	31.4	class1
94.8	1.56	15.5	4.9	33	class1
89.8	1.15	13.7	10	23.3	class1
93.3	1.74	19.6	8.4	57.4	class2
79.9	0.33	16.4	5.8	62.3	class2
68.8	0.95	12.7	8.4	52.7	class2
73.3	0.86	21.3	19.6	50.8	class2
108.1	0.69	23.9	18.2	26.8	class2
82.6	0.2	12.6	9.3	44.1	class1
97.9	0.11	12	10.8	44	class2
92.6	0.18	13.9	6.8	45.3	class2
96.1	0.13	15.8	18.2	59.8	class2
79.9	0.44	18.7	5.3	30.1	class1
118.3	0.19	12.2	16.8	16.7	class2
117.1	8.11	17.4	7.8	57	class2
88.8	5.74	12.6	3	23.4	class1
100	0.44	15.5	6.5	17.9	class1
108.6	1.38	12.1	10.5	17.2	class2
83.6	0.81	14.6	16.8	15	class1
93.1	0.77	14.6	12.4	28.5	class1
101.3	4.53	12.5	21.1	49.6	class2
115.8	9.54	19.2	7.2	63.8	class2
128.9	4.71	16.6	3.6	65.2	class2
125.9	2.19	15.2	5.8	34.1	class2
115.8	2.17	14.7	9.4	33.1	class2
111.9	5.57	18.4	10.9	23.5	class2
101.5	4.6	17.2	11.8	44	class2
79.4	6.51	20.8	7	14.9	class1
121.8	4.35	23.3	8.1	32.2	class2
118.1	5.03	17.5	28.1	21.6	class2
114.4	0.66	17.7	4.9	21.3	class2
97.2	1.81	16.6	5.7	14.4	class1
114.9	3.13	13.4	17.1	18.7	class2
127.3	4.74	19	27.2	19.7	class2
111	7.73	17.9	29.8	15.9	class2
120.3	15.11	19.2	20.5	43.8	class2
107.6	10.91	9.6	34.6	19.4	class2
114	2.16	11.4	11.5	16.7	class2
104.9	2.84	24.2	7.1	48.5	class2
114.9	2.36	17	9.9	39.6	class2
107.1	6.52	20.1	16.9	44	class2
110.9	3.3	15.1	17.9	36.5	class2
118.8	6.32	12.1	26.1	28.3	class2
104.5	3.56	14.2	10	27.9	class2
107.9	5.98	17.9	4.9	29.7	class2
117.3	8.64	15.2	15.4	29.6	class2
94.3	1.67	14.6	4.9	41.1	class2
122.6	4.56	18.8	89.5	28.4	class2
92.4	1.79	15.4	21.2	32.4	class2
105.1	7.73	15.3	51.8	24.8	class2
89.1	5.41	11.8	27.9	23.7	class2
85.9	4.95	13.5	26.8	27.3	class2
109.4	0.44	15.6	13	29.2	class2
117.6	9.58	14.1	7.8	25.1	class2
130.5	4.69	15.8	43.5	63.7	class2
109.6	1.84	15.5	8.6	15.2	class2
121	6.98	16.3	6.3	22.6	class2
124.3	7.07	12.4	18.3	25.7	class2
109.8	4.99	15.3	4.7	41.4	class2
110.4	8.61	17.7	1.4	37.5	class2
123.3	11.77	15.7	0.9	56.7	class2
124.4	1.17	15.2	1.3	47.4	class2
104.5	3.96	15.4	4.2	54.4	class2
113.9	1.64	14.4	3.4	37.5	class2
108.9	3.7	14.9	3.2	57.6	class2
104.5	1.1	12	3.1	53.6	class2
114.3	1.2	17.5	14.4	38.9	class2
