PH.D	DBO.P	DBO.D	PH.P	PH.E	SSV.E	DBO.E	DQO.D	SSV.P	RD.SS.G	DQO.E	SS.P	RD.DQO.G	COND.P	SS.D	DBO.S	SED.P	COND.E	RD.DBO.G	RD.SS.P	rfclassifier
7.7	206	111	7.7	7.7	69.1	206	282	61.8	90.2	451	220	73.8	1219	124	16	4	1249	92.2	43.6	class1
7.7	173	172	8.1	7.9	67	189	412	62.5	43	478	192	36	1406	104	152	5	1410	19.6	45.8	class2
7.6	162	109	7.6	7.6	57.4	146	243	63.6	78.2	329	132	71.4	1324	88	19	2	1300	87	33.3	class1
7.7	164	118	7.7	7.8	58.9	177	320	71.9	90.7	512	256	60.4	1599	70	25	5.5	1605	85.9	72.7	class1
7.4	275	138	7.4	7.4	61.1	250	269	57.4	92.1	447	216	98.1	1501	90	14	6.5	1533	94.4	58.3	class1
7.5	219	175	7.5	7.6	57	182	376	58.1	88.3	431	248	72.2	1473	88	23	5.5	1591	87.4	64.5	class1
7.5	153	108	7.5	7.5	55	138	194	67.4	92.9	333	184	81.4	1109	82	16	4	1087	88.4	55.4	class1
7.8	202	148	7.8	7.6	69	179	302	72.1	88.1	389	272	78.7	1381	92	16	6	1240	91.1	66.2	class1
7.8	243	177	7.6	7.9	64.9	198	319	64.7	90.4	464	272	78	1606	88	17	7.5	1431	91.4	67.6	class1
7.8	132	123	7.8	7.8	76.5	95	317	74.5	82.4	349	188	80.8	1139	98	19	2	1063	80	47.9	class1
7.6	220	126	7.6	7.6	69	160	299	69.9	83.3	374	246	78.9	1057	112	19	4.6	1042	88.1	54.5	class1
7.9	218	188	8.3	8.2	66.7	233	355	66	71.1	506	212	77.1	1614	88	47	10.5	1692	79.8	58.5	class1
7.8	178	165	8	8	70.5	166	368	70.2	82.4	396	188	73.2	1380	90	26	5.5	1265	84.3	52.1	class1
7.7	205	168	8.1	7.9	67.4	120	333	68.1	82.6	455	188	78.5	1217	90	24	5.5	1224	80	52.1	class1
7.7	195	186	7.7	7.7	75	208	334	74.6	82.8	427	236	81.7	1375	104	27	7	1426	87	55.9	class1
7.7	152	127	7.8	7.8	67.8	196	270	76.5	86.2	353	162	79.9	1322	100	24	3	1315	87.8	38.3	class1
7.9	210	157	8	8.2	72	194	341	71.2	82.3	419	208	83.1	1333	118	23	4.5	1310	88.1	43.3	class1
7.7	226	187	7.7	7.8	74.1	193	352	71.9	82.9	424	356	79.2	1324	118	24	4.5	1406	87.6	66.9	class1
8.1	220	178	8	8.1	68.4	206	363	69.6	86.3	490	224	82.4	1505	92	16	6	1392	92.2	58.9	class1
7.7	160	118	7.7	7.7	67.9	192	278	68.1	72.2	298	188	67.1	1243	110	30	4.5	1241	84.4	41.5	class1
7.8	230	155	7.9	7.8	65.5	232	364	71.3	85.9	518	202	71.8	1593	76	29	4	1617	87.5	62.4	class1
7.5	225	139	7.5	7.6	74.2	199	314	81.8	86.6	466	176	73.8	1208	94	21	4	1220	89.4	46.6	class1
7.7	204	121	7.8	7.9	70.8	190	259	71.1	88.5	374	184	71.1	1462	100	21	4.5	1494	88.9	45.7	class1
7.6	199	124	7.7	7.8	74	202	269	78.3	90	431	184	85.4	1307	96	17	4.7	1302	91.6	47.8	class1
7.8	232	172	7.8	7.8	68.9	227	411	75	80.7	526	240	81.2	1583	106	30	5.5	1542	86.8	55.8	class1
7.8	184	167	7.8	7.8	67.1	170	345	69.8	82.9	401	172	78.3	1413	102	26	3.5	1292	84.7	40.7	class1
7.7	180	152	7.7	7.7	69.7	155	319	68.8	79.5	338	160	74	1366	94	22	2.5	1332	85.8	41.3	class1
7.6	145	137	7.6	7.7	77.8	148	302	73.5	87	345	166	82.6	1415	94	17	3.8	1432	88.5	43.4	class1
7.8	200	183	7.7	7.7	68.4	179	376	68.8	89.2	420	160	67.6	1256	110	23	3.5	1260	87.2	31.3	class1
7.6	174	164	7.6	7.6	60.6	178	368	69.9	89.4	416	166	66.3	1267	106	22	3.5	1301	87.6	36.1	class1
7.5	228	85	7.5	7.5	45.2	246	236	42.2	95	583	436	87.1	1079	76	21	7.5	1016	91.5	82.6	class1
7.9	206	186	8	8.1	49.3	202	394	50.8	92.7	476	252	84.2	1579	108	27	3.5	1636	86.6	57.1	class1
8	231	188	8	8.1	58.1	177	379	54.8	84.9	407	248	76.7	1454	108	27	4.6	1379	84.7	56.5	class1
7.7	183	123	7.8	7.8	51.9	198	246	56.4	88	381	220	76.1	1453	76	29	3.5	1415	85.4	65.5	class1
7.8	144	118	7.8	7.8	58.5	161	233	53.1	88.4	281	192	77.6	1068	88	14	2.5	1075	91.3	54.2	class1
7.6	158	79	7.8	7.3	62.5	156	198	56.5	90.1	336	184	82.4	1327	92	15	4	1320	90.4	50	class1
7.7	234	156	7.8	7.9	25.5	189	323	25.4	97.9	457	1384	82.7	1257	140	19	35	1218	89.9	89.9	class2
7.8	233	147	7.8	7.9	61.9	215	327	49.4	90.9	500	348	85	1427	102	25	7.5	1512	88.4	70.7	class1
7.7	224	119	7.6	7.6	65.6	225	319	53.6	90.2	578	276	73.9	1486	102	15	6.5	1510	93.3	63	class1
7.5	352	190	7.4	7.4	54.5	316	361	46.5	79.5	533	344	71.9	1453	160	39	6.5	1361	87.7	53.5	class1
7.8	361	147	7.8	7.8	58.9	238	256	51.1	93.2	504	352	84.1	1113	128	19	7	1109	92	63.6	class1
7.9	297	84	7.7	8	35.9	125	204	32.8	96.1	324	804	60.5	1086	124	28	13	1093	77.6	84.6	class1
7.7	416	143	7.8	7.8	53.4	199	299	43.4	91.8	404	544	79	1366	114	25	11	1310	87.4	79	class1
7.6	160	101	7.6	7.7	22.8	138	176	26.7	96.5	259	584	77.2	1039	126	22	7.5	1007	84.1	78.4	class1
7.7	245	109	7.8	7.7	52.8	198	244	47.6	85.2	396	328	73.5	1321	120	23	5	1282	88.4	63.4	class1
7.7	364	143	7.6	7.5	63.6	319	261	50.5	94.9	465	388	77.6	1344	100	18	7.5	1308	94.4	74.2	class1
7.6	259	140	7.7	7.6	62.7	236	246	50	92.8	444	440	74.1	1439	122	24	10	1400	89.8	72.3	class1
7.9	269	138	7.9	7.9	57.3	192	294	50.5	96	433	436	86.1	1335	108	15	11.5	1395	92.2	75.2	class1
7.7	265	151	7.9	7.7	53.7	211	306	57.5	95.5	488	348	87.1	1274	88	15	8.5	1212	92.9	74.7	class1
7.5	188	122	7.5	7.5	64.1	200	233	63.3	90.8	402	218	84.1	1140	90	17	3	1127	91.5	58.7	class1
7.9	212	135	7.8	7.7	31.5	257	210	36.4	98.5	667	572	91.6	1422	108	16	12.5	1478	93.8	81.1	class1
7.9	198	107	7.8	7.8	65.5	183	266	55.6	94.8	456	216	86.8	1247	84	19	4.5	1262	89.6	61.1	class1
7.8	196	128	7.8	7.9	62.5	183	270	55.6	92.2	380	216	83.4	1403	68	13	6	1339	92.9	68.5	class1
7.8	210	124	7.8	7.7	61	185	278	64.6	90.9	372	192	79	1508	74	18	3	1623	90.3	61.5	class1
7.5	292	160	7.6	7.6	67.9	285	284	67.2	81.2	436	238	76.1	1149	80	26	5.5	1095	90.9	66.4	class1
7.8	213	174	7.7	7.7	60.4	257	344	60.3	86.6	588	272	84.4	1432	116	26	6.5	1392	89.9	57.4	class1
7.9	328	152	7.9	7.9	66.1	268	338	62.8	78.1	467	312	68.3	1376	88	29	9.5	1409	89.2	71.8	class1
7.7	213	123	7.7	7.8	67.4	189	255	62.3	75.6	357	212	65.8	1232	80	30	5.5	1160	84.1	62.3	class1
7.5	211	111	7.5	7.5	61.8	312	222	64.5	66.2	388	214	60.3	1020	86	42	5	1026	86.5	59.8	class1
7.9	291	166	8	8.1	54.4	243	265	65.4	80	299	324	72.6	1630	96	26	3.5	1615	89.3	70.4	class1
7.9	258	141	7.7	7.7	61	215	285	53.1	80.5	447	256	83.2	1207	86	19	5	1177	91.2	66.4	class1
7.7	226	130	7.9	7.9	62.5	191	257	55.6	82.3	356	288	71.1	1427	84	28	10	1434	85.3	70.8	class1
7.8	190	117	7.9	7.9	59.3	283	212	58.4	84.6	274	178	73	944	78	28	2.8	937	90.1	56.2	class1
7.8	429	140	8	8	61.3	216	337	65.5	91.1	529	220	82.2	1294	138	23	5	1179	89.4	37.3	class1
7.8	319	146	8	7.8	57.4	163	353	58.9	90.6	468	292	78.6	1587	230	14	7	1525	91.4	21.2	class1
7.8	409	210	7.6	7.7	65.7	431	360	58.9	93.8	532	224	75.2	1561	98	13	6	1535	97	56.3	class1
7.7	182	140	7.7	7.8	63.5	174	243	61	90.6	404	210	86.4	1064	104	13	4.5	1056	92.5	50.5	class1
7.8	287	102	7.7	7.7	57.6	327	255	45.8	92.9	376	236	87.5	1223	84	15	3.5	1226	95.4	64.4	class1
7.6	163	122	7.7	7.6	30.4	184	214	29.1	87.7	238	344	60.1	1113	92	27	4	1079	85.3	73.3	class1
7.9	182	111	7.8	7.8	32.9	159	218	32.6	95.2	234	344	84.6	1125	100	12	4	1140	92.5	70.9	class1
7.9	190	118	7.9	7.9	55.6	275	260	60	86.7	330	200	67	1392	76	25	2.5	1376	90.9	62	class1
8	159	116	8	8.4	57.7	134	233	60.9	90.4	302	276	78.1	1201	80	16	3.5	1160	88.1	71	class1
7.7	210	102	7.7	7.6	46.5	132	176	46.9	87.8	188	192	58.5	924	76	17	2	940	87.1	60.4	class1
7.9	133	98	8	7.8	45.5	132	246	44.2	90.9	297	172	78.8	1072	84	24	1.3	1140	81.8	51.2	class1
8	133	97	8.1	8.1	56.8	133	220	63.2	75.3	288	152	55.6	1116	70	32	2.5	1050	75.9	53.9	class1
8	153	110	7.9	7.9	48.2	224	248	49.2	96.3	488	252	92.6	1224	92	15	4	1147	93.3	63.5	class1
7.7	190	127	7.8	7.9	71.9	200	281	71.8	89.3	395	156	81	1063	102	17	3.5	1038	91.5	34.6	class1
8	97	78	8	7.8	38.1	87	190	33.9	93.2	241	248	67.2	1231	70	10	3.5	1179	88.5	71.8	class1
7.9	161	126	8	8.1	37	132	316	37.9	96.1	336	264	79.8	1327	80	13	5.5	1234	90.2	69.7	class1
7.7	198	141	7.8	7.7	58	175	281	58.3	93.8	321	192	79.1	1418	76	12	4	1335	93.1	60.4	class1
7.9	228	135	7.9	7.9	64.1	162	329	65.1	91	348	252	63.5	1398	110	17	5.9	1340	89.5	56.3	class1
7.6	181	114	7.9	7.9	53.5	135	285	59.7	87.8	317	268	71.3	1417	104	14	4.6	1362	89.6	61.2	class1
7.8	109	81	7.9	7.9	77	91	227	93.5	91	325	124	77.2	1063	64	15	3.7	1026	83.5	48.4	class1
7.8	238	136	7.8	7.8	41.7	210	306	42.1	94.9	725	428	87	1262	106	21	7.5	1265	90	75.2	class1
7.5	189	92	7.5	7.5	62.2	184	192	60.3	85.1	219	146	83.1	1553	78	18	2	1530	90.2	46.6	class1
7.7	89	79	7.7	7.5	68.9	89	250	70	81	298	120	85.9	1103	74	16	2.3	1119	82	38.3	class1
7.8	295	147	7.9	8.1	66.7	155	312	73.6	86.2	382	212	77.2	1319	90	18	5.5	1205	88.4	57.5	class1
7.7	192	166	7.8	7.8	69.3	159	312	75	72.7	350	160	56.6	1206	82	41	2.5	1304	74.2	48.8	class1
7.6	127	73	7.6	7.5	39.4	75	124	46.5	91.5	133	172	75.9	838	62	9	1.8	860	88	64	class1
7.8	148	122	7.8	7.7	61.3	181	232	52	77.4	264	150	72.7	1047	68	19	3	1087	89.5	54.7	class1
7.9	207	91	7.9	7.9	56.3	254	184	53.2	90.3	356	222	71.9	1347	66	18	3.5	1300	92.9	70.3	class1
7.8	308	122	7.8	7.8	50	355	216	51.5	73.9	556	194	77.7	1376	78	42	3	1278	88.2	59.8	class1
7.9	279	161	7.9	7.9	48.1	262	347	43.2	79.3	444	380	60.8	1362	90	31	6	1319	88.2	76.3	class1
7.8	286	176	7.9	7.8	71.2	237	416	67.1	64.4	549	280	48	1368	112	39	8	1397	83.5	60	class1
7.4	372	172	7.6	7.6	64.4	238	364	75.8	58	348	124	39.7	1105	104	44	2.5	1110	81.5	16.1	class2
7.3	164	81	7.3	7.3	57.4	137	204	58.8	94.7	398	204	83.4	1164	62	9	4.3	1179	93.4	69.6	class1
7.8	151	114	7.8	7.6	27.7	131	269	28.8	96.6	436	416	79.4	1479	78	13	5	1603	90.1	81.3	class1
7.9	161	116	7.8	7.7	53.8	156	285	58.1	91	391	172	78	1412	66	11	3	1358	92.9	61.6	class1
7.8	135	107	7.7	7.7	46.8	135	260	55.2	91.9	304	250	68.4	1143	96	14	3.5	1087	89.6	61.6	class1
7.8	194	114	7.7	7.7	58.1	189	304	63.5	89.5	416	252	74	1931	104	27	4.5	1330	85.7	58.7	class1
7.8	253	120	7.6	7.6	63.8	215	320	61.5	94.7	532	296	82.7	1437	90	17	5	1444	92.1	69.6	class1
7.7	242	94	7.7	7.7	29.5	235	246	31.8	92.5	614	716	85.3	1632	244	16	9.5	1589	93.2	65.9	class1
7.7	221	87	7.7	7.6	46.3	166	216	47.4	91.3	452	388	87.6	1137	76	19	5.5	1160	88.6	80.4	class1
7.3	161	87	7.5	7.3	49.3	139	198	44.9	88	369	312	68.6	986	90	19	4	991	86.3	71.2	class1
7.7	197	119	7.6	7.6	51.3	172	257	47	94.2	394	302	81.2	1306	92	14	4	1324	91.9	69.5	class1
7.6	265	110	7.6	7.6	53.1	268	179	53.4	93.4	324	236	70.1	1389	98	13	4.5	1390	95.1	58.5	class1
7.6	149	90	7.6	7.6	50	176	178	51.2	89.8	200	172	77.5	860	76	13	2	859	92.6	55.8	class1
7.6	193	68	7.6	7.6	57.3	146	165	55.8	91.5	243	208	75.7	1089	86	6	3	1095	95.9	58.7	class1
7.6	235	49	7.6	7.6	31.6	148	151	28.6	98.4	400	798	86.5	1515	120	11	11	1554	92.6	85	class1
7.7	241	101	7.7	7.7	39.8	123	202	25.3	91.9	246	300	71.5	1328	86	12	4.5	1288	90.2	71.3	class1
7.7	161	69	7.7	7.7	62.7	133	251	57.8	94.6	410	256	64.9	1421	88	8	4.5	1490	94	65.6	class1
7.7	300	113	7.6	7.5	57.3	237	243	53.3	93.3	388	240	80.4	1571	84	12	4.5	1620	94.9	65	class1
7.8	110	104	7.8	7.8	55.7	199	204	60.2	93.9	380	196	88.7	1430	116	13	3.5	1453	93.5	40.8	class1
7.8	396	107	7.8	7.8	53.3	214	243	57.5	95.4	941	320	94.2	1528	106	11	7	1454	94.9	66.9	class1
7.6	212	148	7.6	7.5	56.8	438	350	64.4	97	681	348	82.4	1446	88	15	6	1396	96.6	74.7	class1
7.8	284	164	7.8	7.8	67.5	255	259	65.1	88	282	172	80.1	965	112	13	2	950	94.9	34.9	class1
7.9	59	44	8	8.1	40.7	64	114	45.2	91.9	161	146	80.7	1315	63	8	1.1	1350	87.5	56.8	class1
8	86	49	8.1	8	20.3	66	114	19.9	96.7	152	412	84.2	1383	80	11	2.5	1403	83.3	80.6	class1
7.8	63	37	7.9	7.7	25.6	48	112	24.8	95	156	266	61.5	1403	84	5	1.9	1400	89.6	68.4	class1
8.2	150	53	8.1	8.1	39.1	69	100	38.9	93.5	126	180	58.7	902	62	8	1.9	882	88.4	65.6	class1
7.9	125	44	7.9	7.8	48.2	70	101	41.2	85.7	188	194	71.8	1074	54	12	2.8	1031	82.9	72.2	class1
7.9	74	47	7.8	7.8	43.9	95	158	57.1	70.5	206	112	51.9	856	62	21	1.2	828	77.9	44.6	class1
7.9	71	26	7.9	7.8	30.6	77	120	28.9	96.4	256	270	75.8	931	71	7	3	910	90.9	73.7	class1
7.8	85	44	7.7	7.7	64.6	58	123	61.6	87.7	197	146	78.7	1169	54	20	2.5	1135	65.5	63	class1
7.6	94	48	7.6	7.5	59.1	95	316	59.2	91.5	302	152	80.5	1145	107	19	2.5	1120	80	29.6	class1
7.4	100	74	7.4	7.4	65.1	112	213	64.6	91.3	470	192	79.4	1208	69	14	4	1207	87.5	64.1	class1
8.1	181	118	8.2	8.2	55.5	145	353	53	94.2	747	264	86.6	1056	110	15	4.7	1059	89.7	58.3	class1
8.2	232	162	8	7.9	76.5	253	287	71.3	92.6	354	202	80.5	1455	96	16	4	1443	93.7	52.5	class1
8.1	164	126	8.2	8.2	71.9	154	237	70.3	91.4	310	148	83.9	1350	82	15	3	1520	90.3	44.6	class1
8.2	286	140	8.2	8.2	73.7	172	310	74.4	90.8	345	156	75.4	1500	74	16	3.5	1552	90.7	52.6	class1
8.3	278	124	8.3	8.3	84.8	181	264	78	89.7	348	200	86.2	1479	76	21	5.5	1337	88.4	62	class1
7.9	178	155	7.9	7.9	75.3	176	312	79.5	91.4	387	156	86.8	1331	100	17	3	1344	90.3	35.9	class1
7.9	241	150	8	8.1	76.4	236	226	76.7	90.4	448	180	82.4	1259	90	16	4.5	1325	93.2	50	class1
7.9	148	94	8	8.1	57	151	204	61	94.1	294	154	86.7	1000	90	9	2.8	1006	94	41.6	class1
8	140	81	8.1	8.2	40.6	139	172	38.5	94.5	294	260	81.3	1361	90	11	2.5	1456	92.1	65.4	class1
7.9	117	91	7.9	7.8	62.5	119	161	55.1	93	220	138	79.5	1493	76	7	1.2	1444	94.1	44.9	class1
7.9	157	109	8	8	73.2	111	197	71.4	83.1	371	154	64.7	1437	80	14	4	1440	87.4	48.1	class1
7.8	235	110	7.8	7.7	61.2	283	227	51.1	88.2	310	270	72.6	1100	108	16	5.5	1065	94.3	60	class1
7.9	205	107	7.9	7.9	33.6	313	200	33.8	96.9	341	520	78.3	976	106	13	7.5	915	95.8	79.6	class1
7.7	375	150	7.7	7.7	45.1	300	323	43.9	96.9	610	556	81	1312	212	21	10	1313	93	61.9	class1
7.7	296	148	7.6	7.7	57.6	192	270	54.2	94.1	416	384	81.3	1445	108	13	7	1447	93.2	71.9	class1
7.4	123	73	7.4	7.3	38.5	129	175	42.1	91.9	237	228	72.2	1202	110	7	2	1190	94.6	51.8	class1
7.8	157	99	7.8	7.9	50	122	198	53.2	90.5	287	188	85	2130	92	12	2	1906	90.2	51.1	class1
7.8	110	78	8	8	66.7	90	179	70.7	90.3	271	164	84.9	1209	74	10	3	1221	88.9	54.9	class1
7.9	134	44	8	8	45.4	140	160	48.1	96.5	555	208	86.5	890	76	7	3.5	850	95	63.5	class1
8	170	89	7.9	7.9	47.6	155	133	52.2	94.3	243	138	85.6	858	74	9	1.5	848	94.2	46.4	class1
8.1	197	93	8.2	8.2	51	157	204	53.2	91.8	361	188	85.9	931	86	12	4	1015	92.4	54.3	class1
8.2	184	92	8.3	8.4	60.5	195	165	69.2	89.5	246	156	82.9	1564	86	11	3.8	1631	94.4	44.9	class1
8	177	68	7.9	8.1	52.6	102	165	52.6	91.7	269	152	79.9	1180	76	10	2.5	1082	90.2	50	class1
7.8	165	104	7.8	7.8	68.7	174	202	68.4	79.1	173	114	53.2	980	100	21	2	967	87.9	12.3	class1
8	154	46	7.9	8.1	13.2	109	111	13.7	98.5	211	1108	83.4	1534	118	7	7	1745	93.6	89.4	class2
8	115	92	7.9	7.9	17.8	120	215	20	96.1	284	460	69	1046	134	11	4	1048	90.8	70.9	class1
7.9	166	84	7.8	7.7	43.9	275	265	45	94.5	553	516	84.3	1174	158	24	8.5	1105	91.3	69.4	class1
7.9	192	137	7.9	7.8	75.8	169	332	68.6	89.4	337	204	78.9	1526	126	14	4.5	1568	91.7	38.2	class1
7.9	158	92	8	7.9	66.2	168	248	65.8	91.9	303	158	74.3	1070	74	16	3	1069	90.5	53.2	class1
7.9	183	151	7.9	7.8	73	161	313	69.4	90.5	391	170	76	1505	86	19	4	1551	88.2	49.4	class1
7.9	278	118	8	8	63.6	202	277	60.6	91.3	471	340	82.4	1160	106	25	6.5	1158	87.6	68.8	class1
7.6	98	61	7.7	7.7	49.2	72	180	45.9	85.2	180	122	60	986	70	21	1.8	990	70.8	42.6	class1
7.8	125	97	7.7	7.4	47.4	183	368	50.5	92.1	325	218	71.1	1254	136	15	3	1229	91.8	37.6	class1
7.8	159	114	8.3	8.1	60.2	136	247	60.6	86.2	447	188	76.3	1120	74	29	3.5	1105	78.7	60.6	class1
8.1	323	175	8.1	8.1	59.4	227	412	59.8	94.3	812	358	88.8	1592	150	21	7.3	1512	90.7	58.1	class2
8.1	170	149	8.2	8.1	79.5	185	296	73.2	85.9	401	224	75.8	1593	86	24	5.5	1513	87	61.6	class1
8.1	225	135	8.2	8.2	60.7	240	293	60.7	94.4	507	300	84.6	1663	94	22	8	1672	90.8	68.7	class1
8.1	252	154	7.9	7.9	75.5	204	257	70.7	93.4	469	246	95.7	1186	90	18	6.5	1145	91.2	63.4	class1
7.9	375	121	7.9	7.7	73.6	254	319	67.1	89.1	411	292	76.6	1350	102	17	8	1339	93.3	65.1	class1
8.1	264	138	8.1	8.1	76.1	198	234	73.2	87.3	351	142	78.1	1300	98	15	2.5	1341	92.4	31	class1
8.1	117	66	8.2	8.2	73.3	127	315	71.7	91.3	444	184	80.9	1629	94	15	4	1658	88.2	48.9	class1
8.2	220	161	8.3	8.4	77.8	249	328	74.5	94.4	600	204	85.3	1583	86	18	5.3	1566	92.8	57.8	class2
8	243	122	8.1	7.9	74.6	228	279	76.1	89.7	461	142	80.7	1104	92	14	2.5	1113	93.9	35.2	class1
8.1	285	117	8.2	8.3	70.9	230	304	66.7	91.8	524	186	82.4	1217	82	13	5.5	1178	94.3	55.9	class1
8.1	231	107	8.1	7.9	77.4	203	341	70.4	91.1	487	196	65.9	1338	60	17	5.5	1353	91.6	69.4	class1
8	207	92	8.2	8.2	73.6	133	257	65.3	92.3	531	288	84.4	1535	72	11	11	1514	91.7	75	class1
8	189	114	8.1	8	74	131	273	75.2	87.7	384	298	75.3	1300	80	18	6.5	1260	86.3	73.2	class1
7.9	182	118	7.8	7.7	65.8	241	256	67	93	332	194	53	1148	90	12	3.3	1133	95	53.6	class1
8.1	106	98	8.2	8.3	71.7	113	279	74.6	90.8	347	134	75.8	1377	68	7	2.5	1385	93.8	49.3	class1
8.2	222	134	8.3	8.1	70.3	203	271	71.9	91.4	434	114	86.2	1533	84	13	2.5	1496	93.6	26.3	class1
7.9	240	134	7.8	7.6	69.9	224	302	71.4	94.5	337	168	76.9	1144	92	17	4	1146	92.4	45.2	class1
8.2	273	161	8.3	8.2	72.3	223	337	75.5	92.2	470	196	81.7	1362	92	16	5	1343	92.8	53.1	class2
8.1	257	174	8.3	8.2	72.2	346	300	75	93.1	350	152	82.6	1230	86	20	4	1233	94.2	43.4	class2
8.2	221	152	8.2	8.2	76.6	148	337	73.9	94.1	545	230	87	1354	94	14	5	1329	90.5	59.1	class1
8	331	150	8	7.9	71.2	319	299	69.3	94.4	532	254	88.7	1453	92	15	6	1379	95.3	63.8	class1
8.2	268	180	8.3	8.2	67.2	334	372	67.2	95.7	594	238	89.6	1400	118	20	5.5	1380	94	50.4	class2
8.1	258	189	8.2	8.1	69.2	311	309	72.7	94.2	420	198	90.2	1559	152	18	3.3	1474	94.2	23.2	class2
8.2	282	153	8	8.1	84.2	238	290	80	91.6	591	210	89.3	1372	106	16	5.5	1380	93.3	49.5	class2
7.6	122	97	7.6	7.5	73.7	122	242	64.4	91.2	289	146	65.7	1060	70	12	2	1103	90.2	52.1	class1
7.9	140	92	7.9	7.8	55.7	133	206	54.4	92.4	295	158	77.6	1448	74	14	2.5	1436	89.5	53.2	class1
7.8	154	114	7.9	7.9	56.3	142	295	57.5	91.3	272	174	72.8	1485	86	18	3	1543	87.3	50.6	class1
7.7	145	75	7.7	7.9	67.6	152	204	66.2	91.9	510	148	87.3	1266	72	16	2.5	1235	89.5	51.4	class1
7.5	121	73	7.6	7.6	34.3	100	149	36.1	95	212	288	72.2	646	98	15	3	651	85	66	class1
7.5	84	45	7.4	7.3	32.2	80	125	34.3	94.4	204	198	75	912	74	10	1.5	940	87.5	62.6	class1
7.6	122	71	7.5	7.5	56.7	94	203	51.4	91.7	189	144	82.5	1206	54	13	1.3	1200	86.2	62.5	class1
