PH.D	DBO.P	DBO.D	PH.P	PH.E	SSV.E	DBO.E	DQO.D	SSV.P	RD.SS.G	DQO.E	SS.P	RD.DQO.G	COND.P	SS.D	DBO.S	SED.P	COND.E	RD.DBO.G	RD.SS.P	rfclassifier
7.8	175	99	7.7	7.6	57.3	135	250	53.1	89	297	196	85.5	1040	98	20	2.5	1000	85.2	50	class1
7.9	196	139	8	7.9	57.5	175	327	49.8	94.5	566	406	85.9	1358	110	20	9.2	1268	88.6	72.9	class1
7.9	218	153	8	7.9	62.7	223	355	63.3	93.3	538	256	80.7	1441	112	18	6.5	1425	91.9	56.3	class1
7.8	302	161	7.9	7.9	46.5	222	352	52.9	95.8	516	374	81.4	1393	110	21	9	1335	90.5	70.6	class1
7.8	201	127	7.7	7.8	61.3	159	314	55.4	94	516	314	86	1340	104	17	5	1405	89.3	66.9	class1
7.7	138	114	7.7	7.7	56.3	153	265	63	82.8	404	184	72.5	1073	116	33	2.7	1049	78.4	37	class1
7.7	136	97	7.8	7.7	45.6	168	242	45.3	94.5	376	296	76.9	1063	80	14	5.6	1052	91.7	73	class1
7.9	399	133	7.9	7.7	64.3	250	310	62.2	91.3	431	238	79.1	1232	86	15	6	1219	94	63.9	class1
7.7	293	119	7.7	7.4	68.6	224	282	64.5	90.2	421	248	76.7	1341	94	18	6.5	1328	92	62.1	class1
7.7	135	108	7.7	7.6	62.1	122	244	56.5	93.1	338	216	87	1030	68	14	5.5	1035	88.5	68.5	class1
7.9	216	123	7.9	7.9	54.5	243	253	46.2	95.1	459	342	77.6	1202	90	15	7.5	1174	93.8	73.7	class1
7.7	166	114	7.7	7.7	71.2	156	176	66	69.9	276	206	84.4	1270	124	30	4.5	1265	80.8	39.8	class1
7.9	213	170	7.9	7.8	73.3	273	310	68.8	89.5	473	224	82	1257	116	22	6	1232	91.9	48.2	class1
7.9	324	157	7.9	7.8	67.9	312	306	71.6	89.7	576	268	87.2	1280	92	23	5	1300	92.6	65.7	class1
8.1	397	148	8.2	8.1	75	242	312	68.1	89.2	492	238	82.9	1612	88	20	5	1530	91.7	63	class2
7.9	365	124	7.9	7.8	66.3	173	304	63.2	87.1	496	212	82.3	1303	100	23	5	1329	86.7	52.8	class1
7.6	255	131	7.6	7.5	78.4	296	318	69.2	95.3	455	182	76.7	1436	84	15	3.9	1439	94.9	53.8	class1
7.9	360	145	7.9	7.7	67.7	269	314	58.6	92.2	423	266	74	1170	94	16	7	1164	94.1	64.7	class1
7.9	328	201	7.9	7.9	72.1	233	388	68.6	92.8	506	242	82.2	1366	102	18	5.8	1410	92.3	57.9	class1
7.6	241	164	7.7	7.6	71.6	237	341	65.2	72.1	494	224	85.6	1248	102	24	5	1187	89.9	54.5	class1
7.9	232	160	7.9	7.8	70.8	241	353	67	93.9	539	218	85	1403	92	20	5.5	1338	91.7	57.8	class1
7.7	206	135	7.7	7.5	55.4	166	260	54.7	95.9	393	256	93.1	982	96	13	5.5	958	92.2	62.5	class1
7.9	199	130	7.9	7.9	70.7	205	301	70.1	88.9	453	214	84.5	1530	92	15	5.5	1479	92.7	57	class1
7.9	337	149	7.8	7.7	66.1	212	320	62.3	93.8	468	260	80.3	1506	114	18	6	1475	91.5	56.2	class1
7.9	160	138	8	8.1	61.8	177	372	55.7	91.8	428	244	75.7	1335	90	20	5.3	1372	88.7	63.1	class1
7.8	226	100	7.9	7.9	66.7	270	226	63	90.5	321	200	84.1	971	82	14	3.5	1026	94.8	59	class1
7.9	252	110	7.8	7.5	48.1	161	238	47.1	95.1	392	208	84.9	1105	82	15	3.5	1156	90.7	60.6	class1
7.8	167	149	7.7	7.7	50.3	173	319	61.9	92.5	388	210	72.2	1171	110	20	4.5	1196	88.4	47.6	class1
7.9	258	125	7.8	7.7	52.6	183	292	50.9	95	449	464	88	1410	88	23	7.5	1306	87.4	81	class1
7.5	130	83	7.5	7.5	40	69	124	40	92.2	170	310	77.1	827	80	13	3	810	81.2	74.2	class1
7.8	125	98	7.7	7.6	51.6	115	225	55.4	89.6	295	166	80.3	1418	84	19	19	1400	83.5	49.4	class1
7.8	138	91	7.8	7.8	54.8	133	125	52.5	92.3	105	236	81	1347	58	16	4.5	1293	88	75.4	class1
7.7	140	102	7.7	7.8	71.7	151	283	61.5	92.9	485	156	79.2	1528	78	13	4	1535	91.4	50	class1
7.5	154	123	7.5	7.5	81.5	134	351	64.8	86.1	351	182	69.5	1115	124	12	3	1135	91	31.9	class1
7.5	225	111	7.6	7.6	55.7	179	307	63.2	91.9	461	212	72.9	1395	84	20	5.5	1340	88.8	60.4	class1
7.8	159	105	7.8	7.7	68.8	159	295	67.4	80.5	396	184	72.5	1520	82	23	3.1	1440	85.5	55.4	class1
7.7	158	116	7.8	7.7	57.4	146	282	55.7	86.9	375	280	70.1	1486	96	23	6.5	1413	84.2	65.7	class1
7.7	229	144	7.8	7.8	58.3	198	391	60.4	85.8	604	222	73.7	1330	104	31	4.5	1235	84.3	53.2	class1
7.6	166	89	7.7	7.6	69.4	177	208	66.7	90.6	388	198	80.9	1126	68	14	3	1147	92.1	65.7	class1
7.7	182	120	7.7	7.7	59.8	197	325	61	92.9	545	248	60.4	1218	124	20	4	1202	89.8	50	class1
7.7	221	121	7.7	7.6	61.2	149	294	62.9	57	359	280	19.2	1240	138	105	7	1315	29.5	50.7	class2
7.3	192	124	7.3	6.9	65.3	233	357	58.5	67.8	472	236	50	1165	116	101	4.5	1183	56.7	50.8	class2
7.5	238	93	7.4	7.3	62	185	263	59.5	81.9	395	232	70.4	1383	102	31	3	1367	83.2	56	class1
7.6	124	101	8	8.1	67.1	129	277	69.1	84.3	318	136	73	1320	70	15	2	1319	88.4	48.5	class1
7.6	192	101	7.5	7.5	69	170	265	67	79.8	336	200	70.5	1485	80	19	3	1531	88.8	60	class1
7.7	137	103	7.7	7.7	62.9	118	231	53.4	93.8	295	236	75.6	1442	104	12	4	1459	89.8	55.9	class1
7.8	197	124	7.8	7.8	62	181	307	54.2	90.7	462	354	85.3	1377	118	22	8	1315	87.8	66.7	class1
7.7	218	132	7.8	7.7	61.2	214	300	55.3	90.9	467	318	81.6	1205	116	22	6	1171	89.7	63.5	class1
7.9	243	107	7.9	7.8	64	181	272	49.6	93	358	456	70.7	1263	112	16	9.5	1224	91.2	75.4	class1
7.7	257	156	7.7	7.7	62.4	227	311	50	92.7	416	416	79.3	1350	134	25	8	1335	89	67.8	class1
7.7	173	116	7.7	7.7	64.3	146	183	58.5	91.1	313	246	81.2	1020	124	16	5.9	1019	89	49.6	class1
7.8	227	135	7.7	7.8	66.7	217	338	52.8	89.8	591	500	85.8	1219	132	17	8.5	1234	92.2	73.6	class1
7.8	243	142	7.8	7.6	58	219	323	56.5	92.7	511	382	80.8	1420	106	22	7	1326	90	72.3	class1
7.7	185	107	7.6	7.5	61.5	164	229	58.2	93.6	353	244	83.3	1489	80	15	5	1535	90.9	67.2	class1
7.9	279	118	7.8	7.8	62.2	231	299	57.5	86.9	473	268	71.2	1368	82	27	6	1309	88.3	69.4	class1
7.8	163	103	7.7	7.6	53.4	157	250	54	90.5	392	274	83.4	1517	76	18	6	1565	88.5	72.3	class1
7.7	301	130	7.8	7.8	66	196	288	69.5	93	403	236	86.6	1478	74	12	4.5	1592	93.9	68.6	class1
7.9	217	137	7.9	7.7	62	266	269	62.6	92	438	214	76.3	1423	74	13	4.5	1396	95.1	65.4	class1
7.6	137	104	7.5	7.3	56.7	133	212	64.3	94.2	310	168	71	1133	64	6	2.5	1134	95.5	61.9	class1
7.8	207	109	7.7	7.6	57.9	134	325	59.4	86.3	404	212	76.5	1341	64	17	5.5	1305	87.3	69.8	class1
7.7	156	100	7.7	7.6	66.7	178	248	66.3	88.9	310	178	80	1549	74	13	3	1560	92.7	58.4	class1
7.8	216	119	7.8	7.8	82.9	171	279	80	92.1	380	190	80.5	1589	52	12	4.5	1565	93	72.6	class1
7.7	161	94	7.6	7.6	58.8	145	196	55.9	89.7	258	204	78.7	991	82	19	2.8	985	86.9	59.8	class1
7.6	219	69	7.5	7.6	61.7	133	264	59.6	88.3	316	218	67.1	1322	92	20	3.5	1273	85	57.8	class1
7.9	135	103	7.9	7.8	55.9	152	198	56.8	93.6	318	236	80.5	1595	74	13	4.5	1615	91.4	68.6	class1
7.7	117	75	7.7	7.6	38.4	115	248	40	93.2	272	290	80.9	1385	84	18	3.5	1418	84.3	71	class1
7.7	149	112	7.7	7.8	49.2	135	220	45.8	90.4	366	354	77	1274	110	29	7	1344	78.5	68.9	class1
7.8	167	75	7.7	7.8	51.9	184	212	50.7	95.9	424	304	84.9	1384	88	13	6	1365	92.9	71.1	class1
7.9	163	94	7.9	7.9	64.6	170	192	58.8	92	332	272	92.8	1223	78	21	5.5	1219	87.6	71.3	class1
7.7	142	82	7.7	7.6	55.5	153	228	53.5	93.4	464	284	80.2	1165	74	21	6	1149	86.3	73.9	class1
7.8	128	67	7.8	7.8	47.7	133	172	41	93.9	349	356	84.2	870	64	16	6	875	88	82	class1
7.9	180	121	7.9	8	57.5	174	275	64.2	93.3	442	302	87.8	1316	96	20	7.2	1306	88.5	68.2	class1
7.8	108	96	7.8	7.8	71.8	117	250	67.1	86.6	296	158	74	1516	68	23	3	1494	80.3	57	class1
7.8	182	123	7.7	7.7	70.1	172	263	65.2	83.8	400	178	85.3	1417	106	15	2.5	1402	91.3	40.4	class1
7.6	117	77	7.5	7.5	66.3	124	221	65.1	88.4	281	172	73.3	1479	90	12	2	1520	90.3	47.7	class1
7.5	113	42	7.5	7.5	37.2	150	113	38.2	90.7	171	220	77.2	731	49	11	1	732	92.7	77.7	class1
7.6	103	65	7.6	7.6	37.6	92	167	57	92.3	233	172	79.8	852	97	8	1.5	829	91.3	43.6	class1
7.7	105	65	7.5	7.5	66.2	138	157	64	91.6	268	166	87.7	880	97	8	1.5	890	94.2	41.6	class1
7.6	110	54	7.6	7.6	71.4	84	161	67.3	82.7	251	104	80.5	877	66	7	1.5	866	91.7	36.5	class1
7.7	153	49	7.7	7.6	60.7	158	177	59.5	83.1	375	168	72.5	992	56	9	3	1049	94.3	66.7	class1
7.7	131	98	7.6	7.6	68.5	159	169	71.1	89	310	166	81	1083	64	21	1.7	1096	86.8	61.4	class1
7.8	147	80	7.7	7.6	64.9	132	155	61.5	91.2	304	156	86.2	974	62	14	1.8	939	89.4	60.3	class1
7.7	163	97	7.6	7.5	82.3	153	188	70.6	90.3	307	136	85	1039	62	10	2.5	1044	93.5	54.4	class1
7.7	102	88	7.6	7.6	71.9	179	188	85	89.1	265	120	79.6	1012	66	11	2	992	93.9	45	class1
7.5	191	115	7.4	7.3	65.1	200	244	67.3	89.5	545	226	87	1198	77	21	3.5	1260	89.5	65.9	class1
7.8	236	158	7.8	7.9	65.6	205	376	73.1	89.6	588	268	82.3	2280	96	20	8.5	2430	90.2	64.2	class1
7.8	208	164	7.8	7.8	69	172	463	66.1	86.5	506	248	69	1929	100	19	6.5	1865	89	59.7	class1
7.6	266	172	7.7	7.6	61.3	219	345	70	76.1	446	240	60.8	1645	102	42	5	1600	80.8	57.5	class1
7.5	178	128	7.6	7.7	74	156	302	71.7	88.5	405	184	82.5	1976	92	19	3.5	1856	87.8	50	class1
7.7	252	121	7.7	7.8	49.4	155	302	49.4	92.5	389	308	77.6	2150	108	15	6.5	1927	90.3	64.9	class1
8	213	140	8	8	66.7	145	287	61.7	89.1	398	240	78.1	2010	84	15	6	2240	89.7	65	class1
7.8	219	190	7.9	7.8	67.8	187	355	66.1	83.3	460	236	77.2	1920	100	28	5.5	1832	85	57.6	class1
7.9	204	155	7.8	7.8	62.4	149	345	66.7	79.6	361	204	71.5	1751	106	27	5	1651	81.9	48	class1
7.8	200	127	7.9	7.9	72	180	354	75.9	86	433	174	74.6	1820	86	19	3.7	1729	89.4	50.6	class1
7.8	207	147	7.9	7.9	73.7	156	321	67.1	82.9	417	164	76.3	1798	76	29	4.5	1608	81.4	53.7	class1
7.9	242	133	7.9	7.9	27.4	265	206	30	98	330	680	78.8	1858	120	24	12.5	1866	90.9	82.4	class1
7.7	326	142	7.7	7.6	80.6	202	280	56.4	90.7	426	404	78.4	2180	146	33	7	2310	83.7	63.9	class1
7.6	386	198	7.9	8	65.4	352	348	64.8	84.6	471	216	80.7	2320	118	24	5.5	2150	93.2	45.4	class1
7.9	191	130	8	8.1	55.6	187	304	49.2	90.3	488	252	83.6	2340	66	28	5	2440	85	73.8	class1
8.1	180	113	7.9	7.7	54.8	145	271	56.5	91.1	382	184	77	1820	70	15	3	1814	89.7	62	class1
7.7	176	120	7.7	7.7	61.4	176	274	59.2	90.9	422	196	80.6	2180	72	14	3.5	2200	92	63.3	class1
7.5	101	95	7.4	7.5	46.9	112	251	47.9	89.5	341	238	66.6	2430	82	18	3	2070	83.9	65.5	class1
7.8	112	53	7.8	7.8	53.6	144	239	54.2	90.9	361	236	79.5	1760	78	14	3.3	1790	90.3	66.9	class1
7.9	152	76	7.9	7.8	44.8	161	173	54.8	90.3	326	208	66	1640	74	23	5	1570	85.7	64.4	class1
8	190	119	7.8	7.9	55.3	189	250	54.7	92	424	318	84	2310	90	16	5.5	2270	91.5	71.7	class1
7.9	166	110	7.9	7.9	43.4	182	274	48.1	93.4	388	262	81.7	1731	82	18	4	1704	90.1	68.7	class1
7.7	314	122	7.7	7.7	52.8	290	304	54.2	95.7	566	358	79.5	2730	78	18	8	2540	93.8	78.2	class1
7.9	265	132	7.8	7.8	56.4	246	338	58.2	91	641	378	84.4	1724	170	31	8	1683	87.4	55	class1
7.9	242	139	7.8	7.7	53.7	244	353	54.1	93.2	607	436	82.9	2220	164	18	8	2160	92.6	62.4	class1
7.6	259	133	7.6	7.4	64.7	342	278	60.6	83.6	400	284	73.5	1907	86	23	6	1858	93.3	69.7	class1
7.6	172	102	7.4	7.5	35.6	191	267	41.4	93.5	488	580	77.5	2530	84	22	7.8	2590	88.5	85.5	class1
7.5	173	112	7.5	7.5	46.2	221	261	52.5	92.3	391	244	67.5	2090	74	17	4.5	2140	92.3	69.7	class1
7.9	201	131	7.8	7.8	53.1	139	278	47.6	96.9	380	340	86.6	2000	104	11	8.5	2040	92.1	69.4	class1
7.7	135	81	7.8	7.8	27.2	117	181	32.3	97.6	366	620	81.7	3170	106	12	7	3230	89.7	82.9	class2
7.8	218	94	7.8	7.8	47.4	158	198	46.7	95.4	256	240	74.2	1860	98	10	4	1831	93.7	59.2	class1
7.4	225	131	7.5	7.6	59	217	215	64.9	93	315	376	74.3	2090	67	22	4	2080	89.9	82.2	class1
7.4	244	95	7.5	7.6	52.4	208	205	66.2	83.8	556	148	86.5	2080	73	18	2.5	2340	91.3	50.7	class1
7.9	220	85	8	7.8	45.6	223	199	41	93.7	459	346	87.8	2300	63	19	4.5	2220	91.5	81.8	class1
7.6	121	75	7.5	7.5	67	126	190	63.2	92	397	190	74.6	1760	68	16	3.5	1950	87.3	64.2	class1
7.6	205	102	7.6	7.6	64.8	158	269	56.1	85.2	276	278	72.1	1878	123	24	7.5	1939	84.8	55.8	class1
7.9	334	223	8	8.2	72.5	339	372	83.6	96.6	713	584	88.4	2110	116	17	8.5	2170	95	80.1	class2
8.1	227	161	8.2	8.1	69.2	255	372	67.5	89.7	550	246	84.2	1917	100	18	8	1919	92.9	59.3	class2
8.1	250	202	8.1	8.1	79.3	253	384	74.8	89.6	473	246	77.8	1950	112	23	6	1990	90.9	54.5	class2
8.1	337	186	8.1	8.1	74.5	256	365	75.2	87.8	539	218	78.5	1732	102	27	5.2	1803	89.5	53.2	class2
8.1	372	204	8	8	79.3	330	396	74.5	82.1	511	212	76.7	2100	128	34	5	2110	89.7	39.6	class2
8.1	282	203	8.2	8.2	77.6	324	396	72.6	90.3	539	190	83.5	2180	110	21	4.5	2090	93.5	42.1	class2
8.2	188	133	8.1	8.1	65.3	168	210	66	89.8	334	188	77.8	2110	74	20	4.5	2230	88.1	60.6	class1
8.1	392	155	8.1	8.1	76.6	287	332	75.3	94.8	484	308	83.5	1640	118	22	5.5	1653	92.3	61.7	class2
8.1	300	131	8.1	8	73	201	317	72.9	84.7	434	214	87.3	1700	114	12	4.5	1727	94	46.7	class2
8	156	136	8.1	8	68.8	182	261	49.1	89	364	224	77.2	1750	86	20	3.5	1672	89	61.6	class1
8.2	194	121	8.2	7.9	69.5	195	289	56.8	89.5	428	250	82.5	1873	104	15	3.5	1835	92.3	58.4	class1
8.1	161	109	8.3	8.3	69.6	185	325	61.4	90.8	457	228	78.6	2050	98	18	5.5	1944	90.3	57	class1
8	159	85	8.3	8.2	61.1	139	208	50.9	93.1	263	204	80.6	1717	80	9	2.5	1665	93.5	60.8	class1
8.1	198	95	8	8.1	55.9	166	213	62.7	89.8	318	134	76.7	1779	60	15	2	1820	91	55.2	class1
8.2	144	107	8.1	8	66.2	138	243	60.7	85.3	304	168	65.1	2000	68	17	3	2050	87.7	59.5	class1
8.2	312	192	8.4	8.5	65.8	251	439	62.7	80.3	447	204	64.7	2880	108	26	3.8	1770	89.6	47.1	class2
8	118	85	8.2	8.2	65.8	147	106	66.7	87.7	224	138	89.7	1740	74	15	1.4	1758	89.8	46.4	class1
8	261	105	8	8.2	63.9	206	220	68.5	86.1	324	146	79.6	1830	84	12	3	1782	94.2	42.5	class1
8	268	114	8.1	8.1	67.3	233	260	69.7	85	456	238	69.3	1672	74	33	4.5	1586	85.8	68.9	class1
8.2	197	141	8.3	8.2	70.8	226	318	70.6	84.3	419	218	76.1	2150	100	19	4	2210	91.6	54.1	class2
8	218	130	8.2	8.4	70.2	195	267	66.7	89.9	392	210	78.1	2680	82	18	4	2790	90.8	61	class2
8.3	221	113	8.4	8.3	71.2	173	291	70.6	90.4	427	204	75.4	1955	82	16	5	1979	90.8	59.8	class2
8	194	130	8.1	8.1	73.2	148	274	66.9	90.1	321	242	75.7	1704	104	12	7	1681	91.9	57	class1
8	289	166	8.2	8.1	78	243	372	74.2	93.5	572	240	85	2340	98	13	6.5	2280	94.7	59.2	class2
8.1	363	169	7.8	8.2	72.1	316	408	70.8	94.3	743	260	86.8	2460	112	16	7	2390	94.9	56.9	class2
8	357	194	8	8.1	75.4	302	412	71.1	92.6	702	304	83.2	2250	114	19	11.5	2480	93.7	62.5	class2
7.8	330	151	7.8	7.8	69.4	177	274	52.1	91.3	412	476	78.2	2330	124	8	7.5	2190	95.5	73.9	class1
7.8	172	106	8.1	8	68.3	169	272	77.8	86.5	327	180	71.6	1950	78	15	2.5	1940	91.1	56.7	class1
8.1	157	107	8.3	8.3	55.8	192	207	61.3	88.4	294	150	76.5	1934	104	15	2	1983	92.2	30.7	class1
8.2	217	121	8.3	8.2	60.3	185	299	64.2	92.9	334	162	80.5	2100	114	16	4	1987	91.4	29.6	class1
8	186	92	8	7.9	33.5	115	230	37.9	94.6	357	464	82.9	1858	110	8	6	1760	93	76.3	class1
8	137	99	8.1	8.1	55.7	380	239	55.3	88.7	318	188	77.7	2080	104	16	1.8	1970	95.8	44.7	class1
7.9	135	118	7.9	7.7	66.3	156	333	67.8	89.8	547	174	78.1	1730	100	15	4	1667	90.4	42.5	class1
7.9	277	138	7.9	7.9	68.4	209	348	69.6	90.3	416	250	74.3	1774	110	16	7	1711	92.3	56	class1
7.9	236	161	7.9	7.9	79.5	170	328	76.3	85.6	380	160	66.6	1957	82	23	4.5	1949	86.5	48.8	class1
8	130	76	8	7.7	73.6	150	202	68.7	88.5	289	134	69.9	1718	68	25	2	1698	83.3	49.3	class1
7.9	253	85	8.1	8	57	173	341	63.8	92.6	396	210	82.3	1916	108	21	6.3	1879	87.9	48.6	class1
7.9	214	181	7.9	7.8	69.6	223	345	71	88	443	186	80.6	1670	86	29	3.5	1553	87	53.8	class1
8	156	131	8	8	69.9	195	337	68.1	90.4	574	188	85.5	1580	76	17	4	1563	91.3	59.6	class1
8	312	169	8	8	72.8	212	329	74.7	92.4	546	182	83.3	2160	94	16	4.3	2240	92.5	48.4	class2
8.2	259	199	8.2	8.2	71.8	257	374	72	92.9	629	264	82.8	1767	104	28	6.3	1823	89.1	60.6	class2
8.1	259	168	8.1	8.1	68.3	199	394	68.2	88.3	486	352	69.8	1684	116	31	13.2	1605	84.4	67	class2
8.2	250	175	8.2	8.1	68.3	222	346	7.1	90.1	662	310	87	1733	104	24	7.3	1734	89.2	66.5	class2
8.2	305	135	8.2	8.1	70.6	238	371	67.2	88.2	490	244	80.6	1643	102	23	5.5	1652	90.3	58.2	class2
8	379	194	7.9	7.8	71.2	230	346	65	89.2	422	400	74.9	1790	122	27	10	1733	88.3	69.5	class2
8	449	187	8	8	71.9	290	352	71.1	90.4	459	298	87.6	1746	112	28	9	1684	90.3	62.4	class2
8.1	273	158	8.1	8.1	76.5	231	308	74.7	90.7	368	158	75	1846	76	18	4.5	1854	92.2	51.9	class2
8.2	159	139	8.1	7.9	66.7	188	422	67.9	77.8	434	156	64.3	2680	90	22	3	2450	88.3	42.3	class1
8.2	214	148	8.2	8.2	79.7	166	295	80	77.1	307	130	62.2	1661	96	19	3.5	1697	88.6	26.2	class1
8.2	211	140	8.3	8.2	75.3	222	330	72.8	93.2	493	162	78.7	1746	86	16	4	1620	92.8	46.9	class2
8	293	164	8.1	8	73.4	272	304	74	92	665	192	88.6	2200	96	20	5	2200	92.6	50	class2
8.2	244	163	8.4	8.3	71.3	261	400	72.7	94	592	256	92.1	1685	170	24	8	1663	90.8	33.6	class2
7.7	345	156	7.8	7.7	66.3	185	355	67.6	93.6	518	210	87.5	2120	98	14	3.5	2350	92.4	53.3	class1
8	209	145	8	7.9	69.6	228	297	69.2	91.3	486	214	82.3	1867	100	24	4	1912	89.5	53.3	class1
7.8	210	101	7.8	7.7	60.8	238	233	54.7	92.8	327	252	75.8	1724	82	12	6.3	1725	95	67.5	class1
7.9	126	85	7.8	7.8	61.1	134	229	54.4	93.2	323	206	82.7	2050	118	15	3	2070	88.8	42.7	class1
7.7	174	99	7.6	7.6	22.8	179	227	21.3	98.6	432	1692	83.6	1906	90	18	46	1889	89.9	94.7	class2
7.9	239	81	7.8	7.7	62.3	198	222	53.3	91.2	546	420	85.5	1893	76	17	19	1869	91.4	81.9	class1
7.9	254	137	8	7.8	66.9	290	312	62	89.9	448	200	79.5	1829	90	19	5	1842	93.4	55	class1
8	194	116	8.1	8.1	62	184	276	61.5	94.4	412	234	79.6	1770	106	14	5	1800	92.4	54.7	class1
7.7	211	106	7.6	7.4	66.1	167	274	67.3	94.2	333	202	78.1	2090	80	12	4.5	1960	92.8	60.4	class1
7.7	127	96	7.7	7.6	57.7	149	298	60.8	89.4	412	194	73.3	1710	128	17	4	1593	88.6	34	class1
7.5	155	129	7.5	7.5	75	182	308	61.7	89.9	605	230	85.8	1734	82	26	5	1672	85.7	64.3	class1
7.6	195	106	7.7	7.6	64.3	198	290	67.3	85.3	432	208	79.2	2100	92	19	3.5	2150	90.4	55.8	class1
7.6	139	96	7.7	7.7	51	115	290	67.7	84.1	408	198	71.1	2050	98	20	2.5	2150	82.6	50.5	class1
7.6	129	106	7.6	7.6	49	132	245	50	86	253	256	64.4	2060	94	15	2.5	2110	88.6	63.3	class1
7.6	148	98	7.5	7.5	67.5	188	198	77.6	85.8	263	134	67.7	1668	56	14	1.7	1645	92.6	58.2	class1
7.8	128	80	7.8	7.8	73.9	114	192	75.6	89.9	273	172	73.3	1929	68	14	3.5	1870	87.7	60.5	class1
7.8	315	154	7.6	7.5	67.9	277	297	56.3	94.1	523	348	89.9	1816	84	21	9	1817	92.4	75.9	class1
7.8	206	117	7.8	7.8	57.9	192	275	55.1	90	330	218	78.8	1782	82	10	5.5	1775	94.8	62.4	class1
7.8	147	110	7.7	7.7	65.2	140	272	68.1	87.6	380	182	75.8	1789	66	15	3.5	1668	89.3	63.7	class1
7.9	180	121	7.9	8.1	56.3	185	247	53.2	91.8	439	316	89.3	2070	102	33	7	2210	82.2	67.7	class1
7.9	244	135	7.8	7.8	65.1	235	303	64.2	90.5	489	268	71.4	2100	88	27	5	2110	88.5	67.2	class1
7.6	148	105	7.5	7.4	61.9	160	265	65.1	85.6	348	172	72.7	1729	80	15	2.5	1720	90.6	53.5	class1
