pH,CEC,BULK DENSITY,WATER CAPACITY,CARBON,NITROGEN,Conductivity,SATURATION,ESP,PHOSPHOROUS
5.97,94.00,1.50,11.00,0.50,0.20,2.67,45,3,0.74
4.79,45.00,1.61,5.00,1.13,0.27,2.17,45,4,0.39
4.89,76.00,1.50,5.00,1.00,0.20,1.09,76,3,10.6
4.97,77.00,1.50,8.00,1.88,0.24,6.46,45,4,17.6
4.99,68.00,1.48,14.00,0.50,0.10,0.30,45,4,9.6
5.02,75.00,1.29,15.00,1.90,0.20,0.55,80,2,14.19354839
5.49,75.00,1.30,14.00,1.90,0.20,0.30,64,3,11.93548387
5.69,78.00,1.38,13.00,3.36,0.32,0.28,48,2,12.25806452
5.76,57.00,1.49,10.00,1.85,0.30,0.20,38,3,9.35483871
7.8,45.00,1.40,11.00,2.75,0.30,0.83,40,2,11.93548387
7.9,55.00,1.60,11.00,1.20,0.40,0.10,37,1,9.032258065
7.05,67.00,1.49,11.00,1.59,0.20,2.33,45,2,11.61290323
7.05,66.00,1.76,10.00,2.10,0.20,0.40,45,2,8.709677419
5.96,71.00,1.40,12.00,6.00,1.20,0.17,47,2,10
5.76,49.00,1.40,12.00,7.00,0.90,0.17,48,2,12.58064516
5.09,49.00,1.36,12.00,7.00,0.90,0.10,58,1,11.29032258
4.69,86.00,1.33,15.00,9.58,0.85,0.40,42,1,12.25806452
4.37,43.00,1.66,10.00,2.30,0.25,2.30,32,2,0.83
4.59,84.00,1.24,14.00,14.50,1.45,0.29,26,2,0.22
4.36,41.00,1.53,13.00,1.67,0.37,1.86,27,1,0.32
4.32,63.00,1.41,14.00,7.00,0.65,0.19,22,1,0.2
4.34,76.00,1.64,9.00,3.40,0.40,0.36,29,2,0.31
4.79,18.00,1.37,8.00,11.00,1.10,0.09,60,2,0.35
4.13,16.00,1.60,6.00,1.00,0.35,0.20,80,2,0.18
4.62,16.00,1.72,9.00,1.00,0.25,0.25,80,2,0.28
4.67,98.00,1.40,17.00,3.00,0.30,2.50,40,3,0.39
4.38,16.00,1.47,7.00,1.00,0.43,0.15,45,4,0.18
3.9,70.00,1.36,12.00,7.30,1.40,0.10,45,3,0.27
4.25,16.00,1.56,6.00,1.00,0.30,0.14,45,4,0.29
4.09,74.00,1.72,11.00,3.64,0.43,0.40,45,4,0.29
4.14,45.00,1.35,15.00,8.70,1.00,0.19,39,2,0.39
3.96,31.00,1.64,8.00,2.30,0.50,2.30,42,2,0.39
3.95,36.00,1.40,10.00,3.00,0.40,1.10,46,4,0.26
3.93,32.00,1.29,10.00,59.00,5.50,0.10,46,2,0.24
4.09,36.00,1.39,14.00,3.00,0.40,3.06,46,2,0.35
5.85,36.00,1.39,10.00,3.00,0.40,1.00,92,3,0.28
4.3,36.00,1.40,10.00,3.00,0.40,0.86,95,3,0.26
4,50.00,1.39,9.00,8.50,1.20,0.15,94,3,0.59
4,58.00,1.36,11.00,10.98,1.23,0.21,100,3,0.32
4.6,85.00,1.19,11.00,18.00,1.90,0.10,100,3,0.27
4.2,41.00,1.32,10.00,31.40,3.28,0.10,21,1,0.49
3.76,46.00,1.28,10.00,6.09,0.75,0.17,35,2,0.37
4.42,87.00,1.32,10.00,12.75,1.83,0.11,16,2,0.33
4.37,48.00,1.39,12.00,4.68,0.62,0.17,47,2,0.28
4.2,45.00,1.38,10.00,5.80,0.70,0.11,29,3,0.36
4.4,19.00,1.43,7.00,7.00,0.80,0.06,80,2,0.37
4.34,84.00,1.39,9.00,9.02,1.70,0.15,100,2,0.38
4.3,66.00,1.64,9.00,4.60,0.51,0.36,100,2,0.35
4.9,42.00,1.25,13.00,4.50,0.39,24.05,100,2,0.29
4.43,66.00,1.50,5.00,1.50,0.20,1.09,100,2,0.35
4.01,62.00,1.48,17.00,2.00,0.30,3.44,64,3,0.25
3.95,62.00,1.40,14.00,2.00,0.30,1.92,84,2,0.25
4.36,66.00,1.50,8.00,1.50,0.20,6.46,98,6,0.058064516
5.18,53.00,1.25,14.00,4.20,0.81,24.08,100,3,0.080645161
5.11,55.00,1.25,13.00,7.07,0.88,22.45,100,4,0.451612903
6.75,120.00,1.25,12.00,0.30,0.93,15.70,96,17,0.051612903
5.63,120.00,1.25,14.00,0.30,0.20,15.70,100,39,0.048387097
4.69,56.00,1.29,10.00,17.00,2.00,0.10,100,34,0.34
4.67,21.00,1.33,9.00,20.00,1.55,0.10,100,45,0.34
4.53,60.00,1.58,11.00,3.50,0.40,0.49,100,43,0.4
4.57,52.00,1.50,12.00,3.97,0.47,0.08,90,2,0.4
4.34,35.00,1.41,14.00,3.90,0.40,0.19,98,2,0.6
4.51,64.00,1.59,11.00,2.00,0.40,0.25,100,2,0.37
4.3,80.00,1.40,12.00,3.00,0.50,0.17,90,2,0.26
4.3,63.00,1.59,11.00,2.40,0.40,0.25,93,3,0.23
5.75,42.00,1.59,11.00,3.00,0.20,0.25,39,2,0.34
5.5,74.00,1.50,14.00,5.00,0.50,0.10,43,3,0.29
7.88,44.00,1.27,14.00,3.97,0.40,0.18,46,4,0.580645161
7.72,35.00,1.23,6.00,5.18,0.63,0.10,46,2,0.12
7.6,92.00,1.17,14.00,4.30,0.50,1.82,46,2,0.22
7.69,71.00,1.38,14.00,3.50,0.43,0.31,92,3,0.29
7.44,68.00,1.44,10.00,2.79,0.40,0.14,95,3,0.2
7.32,62.00,1.45,10.00,2.78,0.35,0.27,94,3,0.23
7.81,62.00,1.45,10.00,2.50,0.50,0.27,100,3,0.34
7.48,56.00,1.42,14.00,4.25,0.50,0.32,100,3,1.09
7.29,15.00,1.52,6.00,4.00,0.70,0.10,47,2,0.07
8.14,16.00,1.45,7.00,6.00,0.70,0.05,20,2,0.22
7.72,32.00,1.52,9.00,1.40,0.20,0.10,22,4,0.65
7.6,35.00,1.17,14.00,18.00,2.00,0.10,28,4,1.02
7.87,30.00,1.50,9.00,5.75,0.43,0.10,26,4,1.36
7.56,59.00,1.45,10.00,1.44,0.38,0.28,45,3,0.99
7.25,54.00,1.40,13.00,2.30,0.30,0.16,45,4,0.79
7.29,54.00,1.40,13.00,2.30,0.30,0.16,45,3,0.13
7.11,54.00,1.40,13.00,2.30,0.30,0.16,45,4,0.11
7.06,42.00,1.45,10.00,3.20,0.22,0.22,45,4,0.15
7.29,65.00,1.26,17.00,6.50,0.60,0.36,28,2,0.1
6.97,13.00,1.40,14.00,2.00,0.40,1.92,14,2,0.05
6.89,140.00,1.38,11.00,1.50,0.20,0.10,47,2,0.13
7.5,44.00,1.65,10.00,3.00,0.30,4.80,20,2,0.3
7.24,140.00,1.37,10.00,1.50,0.20,0.10,22,4,0.24
7.02,85.00,1.42,10.00,7.00,1.00,0.20,28,4,0.37
7.9,65.00,1.35,16.00,6.50,0.60,0.21,26,4,0.13
8.3,16.00,1.30,10.00,15.04,1.82,0.06,45,3,0.15
5.16,52.00,1.40,12.00,3.55,0.40,0.41,45,4,0.27
5.77,38.00,1.20,11.00,11.10,1.38,0.10,45,3,0.07
6.22,35.00,1.33,10.00,7.92,1.05,0.09,45,4,0.03
4.76,77.00,1.12,13.00,12.10,1.35,0.08,45,4,0.07
6.07,72.00,1.50,12.00,1.00,0.20,0.20,28,2,1.035483871
6.93,89.00,1.20,13.00,5.00,0.60,2.07,14,2,1.074193548
4.72,47.00,1.44,10.00,8.00,1.10,0.31,40,2,0.03
4.7,47.00,1.42,10.00,8.00,1.10,0.20,40,2,0.42
8.05,15.00,1.38,7.00,3.00,0.20,0.08,24,2,0.39
7.65,14.00,1.41,6.00,3.00,0.20,0.10,29,3,3.32
7.65,38.00,1.20,3.00,2.50,0.40,0.09,30,3,0.08
7.65,63.00,1.38,10.00,3.80,0.50,0.31,92,3,2.3
7.65,14.00,1.42,6.00,3.00,0.20,0.10,95,3,1.1
7.65,63.00,1.37,12.00,4.00,0.60,0.16,94,3,0.27
7.65,89.00,1.32,10.00,5.20,0.62,0.10,100,3,0.47
7.65,10.00,1.46,6.00,11.25,1.27,0.10,100,3,0.29
7.65,132.00,1.39,13.00,2.70,0.35,0.10,69,2,0.55
7.65,98.00,1.57,10.00,2.03,0.27,0.20,40,2,0.16
7.65,9.00,1.20,5.00,6.23,0.82,0.10,39,2,0.4
7.65,51.00,1.39,12.00,2.80,0.40,0.17,45,2,0.28
7.65,51.00,1.39,12.00,2.80,0.40,0.17,63,4,0.27
7.65,51.00,1.39,12.00,2.80,0.40,0.17,54,2,0.24
7.65,-1.00,1.50,12.00,0.70,0.20,0.20,54,2,0.26
7.65,89.00,1.20,12.00,8.75,0.91,1.79,42,2,0.34
7.65,41.00,1.47,10.00,3.00,0.50,0.10,42,2,0.27
7.65,9.00,1.42,10.00,2.80,0.55,0.10,37,2,0.229032258
7.65,84.00,1.40,14.00,4.50,0.40,0.30,97,2,0.216129032
7.65,12.00,1.53,5.00,2.90,0.42,0.03,80,2,0.158064516
7.65,13.00,1.48,4.00,6.72,0.97,0.10,80,2,0.258064516
7.65,78.00,1.25,10.00,9.56,1.06,0.10,80,3,0.996774194
7.65,77.00,1.41,10.00,1.70,0.27,0.18,80,3,0.548387097
7.65,31.00,1.59,11.00,3.25,0.60,1.06,37,1,1.261290323
7.65,44.00,1.50,14.00,2.80,0.50,0.10,40,2,0.967741935
7.65,59.00,1.57,10.00,4.00,0.77,0.20,45,2,1.693548387
7.65,51.00,1.39,12.00,4.00,0.50,0.17,47,2,3.864516129
7.65,53.00,1.52,4.00,14.60,1.10,0.10,48,2,0.980645161
7.65,7.00,1.20,8.00,5.30,0.70,0.06,45,3,0.680645161
7.65,41.00,1.50,12.00,3.00,0.50,0.10,74,4,1.058064516
7.65,59.00,1.57,10.00,3.88,0.32,0.20,76,3,0.274193548
4.9,57.00,1.37,13.00,6.00,0.75,0.14,73,4,0.235483871
5.1,41.00,1.50,11.00,2.60,0.48,0.10,74,4,0.75483871
4.8,44.00,1.45,12.00,8.40,1.00,0.20,54,2,0.451612903
5,72.00,1.46,12.00,2.90,0.50,0.20,54,2,0.564516129
5.2,51.00,1.39,12.00,4.00,0.50,0.17,42,2,0.329032258
6,10.00,1.37,12.00,3.05,0.60,0.10,42,2,0.380645161
4.9,51.00,1.50,5.00,5.60,0.60,0.22,37,2,0.509677419
4.8,36.00,1.39,7.00,1.75,0.20,0.10,69,2,0.512903226
5.3,32.00,1.45,11.00,6.00,1.00,0.10,40,2,0.493548387
5.7,34.00,1.50,10.00,3.00,0.60,0.09,39,2,0.461290323
6.2,32.00,1.47,11.00,6.00,1.00,0.10,45,2,0.135483871
5.6,26.00,1.41,11.00,19.40,2.34,0.12,63,4,0.064516129
5.5,32.00,1.49,12.00,6.00,1.00,0.10,45,3,0.04516129
6.2,13.00,1.39,13.00,2.80,0.50,2.07,74,4,0.603225806
5.7,49.00,1.49,11.00,3.85,0.53,0.05,76,3,0.364516129
5.3,78.00,1.33,11.00,6.64,0.75,0.07,73,4,0.316129032
7.8,44.00,1.26,9.00,2.50,0.28,0.20,74,4,0.116129032
6.2,64.00,1.24,14.00,7.27,0.71,0.66,45,64,0.061290323
7.8,13.00,1.44,5.00,2.10,0.30,0.05,45,59,0.048387097
6,67.00,1.36,11.00,5.00,0.50,0.10,100,67,0.516129032
7,68.00,1.45,10.00,1.75,0.29,0.14,100,62,0.677419355
5.5,35.00,1.40,11.00,4.15,0.50,0.12,100,54,0.612903226
7.9,13.00,1.46,5.00,2.10,0.30,0.10,25,1,0.516129032
8.2,13.00,1.51,4.00,2.10,0.40,0.05,40,2,0.677419355
6.5,42.00,1.20,3.00,3.30,0.40,0.09,25,1,0.23
6.9,64.00,1.50,5.00,2.50,0.40,1.09,25,1,0.32
5.2,37.00,1.34,10.00,2.00,0.22,0.10,25,1,0.65
4.5,48.00,1.60,11.00,3.00,0.50,0.10,91,2,0.62
4.5,37.00,1.34,10.00,2.00,0.22,0.10,91,2,0.64516129
4.5,27.00,1.49,9.00,3.30,0.40,0.10,98,2,0.838709677
4.8,42.00,1.23,6.00,3.30,0.40,0.10,93,3,0.725806452
4.5,60.00,1.49,12.00,6.00,0.70,0.05,93,3,0.661290323
4.6,113.00,1.40,13.00,2.50,0.20,0.18,45,64,0.516129032
4.3,73.00,1.58,10.00,7.00,0.70,0.35,45,59,0.39
4.4,67.00,1.36,13.00,5.00,0.50,0.10,100,67,0.71
4.3,73.00,1.53,10.00,7.00,0.70,0.31,100,62,0.58
4.6,52.00,1.46,12.00,5.75,0.30,0.08,100,54,0.52
4.6,44.00,1.40,11.00,3.76,0.47,0.11,37,1,0.42
4.6,40.00,1.39,14.00,4.72,0.68,0.04,40,2,0.34
4.2,48.00,1.39,13.00,7.00,0.47,0.10,45,2,0.36
4.2,69.00,1.38,11.00,5.05,0.54,0.10,47,2,0.45
4.2,53.00,1.40,12.00,6.00,0.80,0.17,48,2,0.5
4.7,62.00,1.38,11.00,4.00,0.30,0.10,45,3,0.25
4.8,62.00,1.36,11.00,4.00,0.30,0.10,74,4,0.19
4.8,62.00,1.36,13.00,4.00,0.30,0.10,76,3,0.38
5.8,56.00,1.39,13.00,8.50,0.90,0.11,73,4,0.35
5.8,44.00,1.48,12.00,9.50,1.20,0.05,74,4,0.55
5.8,43.00,1.59,11.00,2.10,0.40,0.25,40,2,0.322580645
5.8,38.00,1.50,7.00,9.38,0.98,0.10,25,2,0.483870968
5.8,94.00,1.76,10.00,4.00,0.50,0.40,25,3,0.580645161
5.8,43.00,1.59,11.00,2.10,0.40,0.25,25,2,0.580645161
5.8,18.00,1.59,11.00,1.00,0.30,0.25,25,2,0.48
5.8,70.00,1.35,12.00,9.70,1.00,0.25,45,64,0.4
5.8,16.00,1.40,10.00,34.50,1.90,0.10,45,59,0.37
5.8,16.00,1.48,4.00,9.40,1.00,0.10,100,67,0.19
6.1,43.00,1.59,11.00,2.10,0.40,0.25,100,62,0.45
6.1,53.00,1.36,12.00,6.00,0.80,0.10,100,54,0.1
5.9,33.00,1.56,8.00,3.80,0.53,0.10,54,2,0.1
5.47,103.00,1.47,13.00,2.00,0.40,0.15,54,2,0.1
7.45,33.00,1.53,7.00,3.80,0.40,0.08,42,2,0.1
5.98,65.00,1.50,11.00,2.00,0.30,0.05,42,2,0.2
6.94,51.00,1.39,13.00,6.50,0.60,1.03,37,2,0.1
7.79,63.00,1.40,11.00,4.43,0.62,0.17,45,64,0.1
5.69,22.00,1.48,10.00,12.34,1.28,0.10,45,59,0.1
7.54,68.00,1.45,13.00,3.72,0.47,0.09,100,67,0.2
4.88,72.00,1.36,12.00,5.47,0.55,0.10,100,62,0.1
6.4,70.00,1.58,10.00,9.24,0.94,0.35,100,54,0.2
6.86,16.00,1.49,5.00,1.00,0.20,0.05,40,23,0.19
6.62,87.00,1.45,13.00,1.80,0.30,0.12,25,12,2.33
7.54,42.00,1.48,14.00,2.48,0.40,0.11,40,12,0.48
5.47,47.00,1.49,9.00,5.00,0.60,0.10,40,13,0.8
7.2,45.00,1.59,11.00,1.00,0.20,0.25,40,13,1.19
6.8,80.00,1.36,12.00,5.25,0.62,0.10,80,2,0.17
7,62.00,1.38,13.00,5.70,0.80,0.20,80,2,1.56
6.9,69.00,1.30,8.00,5.20,0.60,0.10,80,2,0.89
6.8,64.00,1.35,16.00,7.00,0.80,0.21,80,2,0.19
6.7,56.00,1.45,13.00,4.00,0.70,0.12,80,2,0.17
6.8,16.00,1.48,4.00,15.00,1.40,0.10,69,2,0.93
6.8,10.00,1.36,11.00,3.80,0.65,0.12,40,2,0.68
6.4,8.00,1.37,5.00,2.81,0.50,0.04,39,2,0.48
6.5,16.00,1.44,5.00,0.80,0.10,0.10,45,2,0.23
5.5,56.00,1.45,13.00,3.80,0.70,0.12,63,4,0.89
5.6,39.00,1.48,10.00,20.50,1.02,0.10,45,3,0.58
5.6,47.00,1.33,11.00,12.20,0.84,0.09,49,2,0.58
5.9,31.00,1.51,12.00,2.70,0.50,0.10,42,2,4.57
5.5,31.00,1.51,12.00,2.70,0.50,0.10,43,2,5.06
5.6,31.00,1.51,12.00,2.70,0.50,0.10,40,3,3.66
6.4,90.00,1.46,12.00,3.00,0.50,0.10,36,1,4.33
6.1,16.00,1.40,5.00,1.35,0.15,0.04,33,1,4.38
5.7,33.00,1.40,11.00,10.62,1.25,0.03,8,1,3.74
5.7,63.00,1.36,16.00,8.36,0.96,0.13,11,1,4.69
5.6,58.00,1.42,6.00,4.00,0.40,0.10,30,1,4.16
6,58.00,1.36,12.00,4.00,0.52,0.10,65,3,4.43
6.7,32.00,1.40,15.00,4.90,0.60,0.19,83,2,4.54
6.9,32.00,1.29,10.00,25.00,1.60,0.10,98,6,3.47
6.2,54.00,1.39,11.00,8.00,0.92,0.09,100,3,3.48
6.2,44.00,1.45,18.00,3.30,0.50,0.08,95,2,3.84
6.7,58.00,1.41,7.00,4.00,0.50,0.10,87,2,5.25
7.8,72.00,1.53,6.00,1.10,0.40,0.10,82,1,5.84
7.8,41.00,1.32,14.00,2.30,0.40,9.80,83,1,5.63
7.8,32.00,1.40,15.00,4.90,0.60,0.19,80,1,4.37
7.6,1.00,1.25,6.00,2.00,0.20,0.05,84,1,5.38
7.7,1.00,1.25,8.00,2.00,0.20,0.03,45,3,5.92
7.7,18.00,1.48,4.00,8.42,0.88,0.06,49,2,5.76
7.5,32.00,1.40,15.00,4.90,0.60,0.19,42,2,6.61
7.5,37.00,1.51,2.00,3.60,0.30,0.10,43,2,5.3
7.5,32.00,1.40,15.00,4.90,0.60,0.19,40,3,7.31
7.5,24.00,1.20,10.00,29.39,2.62,0.00,69,2,7.29
7.5,44.00,1.54,9.00,3.35,0.47,0.00,40,2,6.59
7.5,50.00,1.25,11.00,16.77,1.44,0.00,39,2,5.76
7,68.00,1.52,5.00,1.31,0.39,0.00,45,2,5.95
5.8,10.00,1.34,12.00,6.05,1.04,0.00,63,4,6.41
5.8,39.00,1.45,10.00,30.00,1.40,0.00,80,2,9.44
6.1,57.00,1.29,14.00,5.88,0.68,0.00,80,2,6.32
6.1,56.00,1.50,8.00,3.31,0.43,0.00,80,2,6.58
5.1,31.00,1.50,11.00,3.00,0.50,0.00,80,2,5.87
5.8,31.00,1.50,11.00,3.00,0.50,0.00,80,2,5.73
5.6,31.00,1.50,11.00,3.00,0.50,0.00,25,2,5.85
5.8,9.00,1.22,10.00,15.55,1.43,0.00,38,2,6.13
5.1,37.00,1.41,14.00,2.90,0.40,0.00,45,2,0.27
5.8,57.00,1.48,10.00,8.10,0.76,0.00,49,3,0.15
5.6,16.00,1.24,7.00,5.00,0.70,0.00,45,3,0.3
5.8,43.00,1.25,6.00,9.80,0.70,0.00,40,2,0.22
7.14,77.00,1.51,7.00,3.10,0.20,0.00,40,2,0.2
4.5,84.00,1.50,10.00,2.95,0.20,0.00,24,2,0.1
4.9,93.00,1.50,11.00,2.80,0.20,0.00,29,3,0.1
5,52.00,1.44,18.00,5.30,0.70,0.00,30,3,0.6
6,24.00,1.20,8.00,2.90,0.84,0.00,98,3,0.741935484
4.2,24.00,1.22,8.00,2.90,0.61,0.00,80,3,0.22
5.6,39.00,1.45,10.00,2.10,0.39,0.00,76,3,0.677419355
5,51.00,1.40,11.00,5.28,0.57,0.00,63,3,0.65
6,16.00,1.50,7.00,15.00,1.40,0.00,40,2,1.13
4.8,30.00,1.50,11.00,4.00,0.56,0.00,40,2,0.52
6,35.00,1.48,11.00,1.60,0.30,0.00,24,2,0.39
5,16.00,1.20,8.00,5.00,0.70,0.00,29,3,0.16
4.6,16.00,1.20,8.00,5.00,0.70,0.00,30,3,0.03
5.1,84.00,1.40,14.00,4.40,0.60,0.00,23,2,1.21
4.9,8.00,1.24,7.00,2.60,0.40,0.00,20,5,0.23
8.4,30.00,1.50,11.00,4.00,0.56,0.00,22,2,0.29
8.1,38.00,1.30,17.00,5.05,0.70,0.00,28,3,2.65
8.1,33.00,1.46,10.00,5.35,0.77,0.00,26,3,0.39
8,47.00,1.38,14.00,7.90,0.80,0.00,45,3,0.48
7.9,76.00,1.40,11.00,4.00,0.60,0.00,74,4,0.32
8,18.00,1.40,12.00,7.00,0.60,0.00,76,3,0.42
8.1,84.00,1.26,17.00,4.40,0.60,0.00,73,4,0.97
3.49,55.00,1.45,18.00,9.20,1.00,0.00,74,4,2.13
3.25,8.00,1.20,8.00,2.60,0.40,0.00,14,2,0.48
3.03,38.00,1.30,17.00,5.05,0.70,0.00,20,2,1.19
3.7,18.00,1.53,5.00,6.03,0.65,0.00,22,2,0.58
3.57,39.00,1.45,10.00,2.10,0.39,0.00,28,2,0.58
3.39,18.00,1.36,12.00,7.00,0.60,0.00,26,2,1.1
6.08,18.00,1.30,8.00,8.30,1.00,0.00,16,2,0.65
6.08,84.00,1.39,16.00,4.40,0.60,0.00,20,2,0.9
6.08,11.00,1.53,5.00,10.73,1.02,0.00,22,2,1.8
5.65,50.00,1.38,14.00,17.00,1.65,0.00,28,2,4.45
5.65,66.00,1.37,13.00,5.25,0.67,0.00,26,2,6.32
5.65,41.00,1.30,19.00,3.05,0.60,0.00,45,2,4.42
7.65,15.00,1.40,7.00,11.48,1.12,0.00,34,3,5.26
7.65,35.00,1.37,11.00,3.65,0.40,0.00,26,3,4.45
7.65,19.00,1.49,6.00,3.10,0.31,0.00,36,2,6.32
5.1,18.00,1.45,10.00,2.00,0.48,0.00,38,2,4.42
5.1,17.00,1.48,4.00,5.90,0.62,0.00,39,2,5.26
5.1,30.00,1.16,14.00,40.30,4.24,0.00,20,2,0.68
5.19,16.00,1.48,4.00,12.25,1.25,0.00,22,4,0.42
5.19,16.00,1.51,4.00,3.22,0.45,0.00,28,4,0.55
5.19,16.00,1.37,10.00,15.15,1.50,0.00,26,4,2.33
5.41,56.00,1.57,10.00,2.55,0.46,0.00,45,2,3.42
6.13,7.00,1.38,14.00,31.00,1.06,0.00,34,3,1.99
4.86,24.00,1.33,9.00,20.99,2.61,0.00,26,3,2.83
5.9,15.00,1.40,12.00,4.70,1.00,0.00,36,2,0.39
4.58,24.00,1.20,9.00,4.35,0.85,0.00,38,2,0.8
5.04,38.00,1.44,18.00,15.80,1.84,0.00,25,1,1.57
7.24,22.00,1.50,5.00,3.42,0.35,0.00,40,2,3.05
6.84,23.00,1.30,10.00,11.00,1.40,0.00,25,1,0.86
5.82,16.00,1.49,4.00,4.00,0.50,0.00,25,1,1
4.7,13.00,1.32,10.00,9.10,1.20,0.00,25,1,1.3
6.59,12.00,1.38,12.00,3.60,0.57,0.00,86,3,2.2
7.29,10.00,1.46,12.00,9.00,0.50,0.00,86,2,2.6
5.05,39.00,1.47,11.00,3.00,0.60,0.00,88,2,2.5
4.92,36.00,1.46,6.00,15.00,0.96,0.00,88,2,2.1
4.3,38.00,1.33,11.00,9.80,1.10,0.00,100,2,2.2
4.56,15.00,1.46,5.00,2.40,0.30,0.00,38,2,2.5
5.19,17.00,1.29,10.00,18.00,2.00,0.00,33,2,3.1
4.98,15.00,1.44,5.00,2.40,0.30,0.00,32,2,1.8
4.41,16.00,1.48,4.00,11.00,1.00,0.00,30,2,2.6
5.47,39.00,1.49,12.00,3.00,0.70,0.00,48,2,2.2
6.14,58.00,1.46,17.00,5.00,0.90,0.00,45,2,3.1
5.7,9.00,1.40,11.00,20.00,0.61,0.00,45,2,2.5
4.83,55.00,1.27,12.00,13.60,1.62,0.00,38,1,2.4
6.11,38.00,1.39,13.00,9.60,1.08,0.00,49,2,3.6
5.27,37.00,1.50,13.00,3.00,0.50,0.00,45,2,4.7
6.54,42.00,1.46,10.00,14.50,0.67,0.00,25,1,3.8
6.65,16.00,1.45,6.00,5.65,0.70,0.00,40,2,3.3
7.4,21.00,1.39,12.00,11.50,0.75,0.00,25,1,3.8
8,69.00,1.30,17.00,16.02,1.55,0.00,25,1,3.9
8.2,52.00,1.51,8.00,2.80,0.53,0.00,25,1,4.3
8.1,18.00,1.50,4.00,1.90,0.20,0.00,90,2,3.5
8.2,44.00,1.37,14.00,3.43,0.40,0.00,95,2,4.5
8.3,7.00,1.20,5.00,5.96,0.81,0.00,40,3,5.3
8.2,39.00,1.49,10.00,3.00,0.40,0.00,10,2,4.1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,