DBO.P	SSV.E	DQO.E	SS.E	SSV.P	SS.P	COND.E	SSV.D	SED.D	SED.P	PH.D	SED.E	SS.D	DQO.D	PH.P	PH.E	DBO.E	COND.P	ZN.E	DBO.D	rfextract
206	69.1	451	194	61.8	220	1249	77.4	0.3	4	7.7	4.5	124	282	7.7	7.7	206	1219	2.5	111	class1
173	67	478	230	62.5	192	1410	71.2	0.4	5	7.7	5.5	104	412	8.1	7.9	189	1406	0.7	172	class1
162	57.4	329	188	63.6	132	1300	81.8	0.2	2	7.6	2.5	88	243	7.6	7.6	146	1324	3.5	109	class1
164	58.9	512	214	71.9	256	1605	88.6	0.4	5.5	7.7	5.5	70	320	7.7	7.8	177	1599	1.5	118	class1
275	61.1	447	252	57.4	216	1533	73.3	0.5	6.5	7.4	7	90	269	7.4	7.4	250	1501	1.2	138	class1
219	57	431	214	58.1	248	1591	65.9	0.4	5.5	7.5	7	88	376	7.5	7.6	182	1473	3	175	class1
153	55	333	240	67.4	184	1087	85.4	0.4	4	7.5	3.8	82	194	7.5	7.5	138	1109	8.5	108	class1
202	69	389	168	72.1	272	1240	78.3	0.3	6	7.8	3.5	92	302	7.8	7.6	179	1381	1	148	class1
243	64.9	464	228	64.7	272	1431	81.8	0.2	7.5	7.8	4.6	88	319	7.6	7.9	198	1606	1.4	177	class1
132	76.5	349	136	74.5	188	1063	69.4	0.4	2	7.8	2.5	98	317	7.8	7.8	95	1139	4.25	123	class1
220	69	374	168	69.9	246	1042	75	0.2	4.6	7.6	3.1	112	299	7.6	7.6	160	1057	3	126	class1
218	66.7	506	204	66	212	1692	81.8	0.2	10.5	7.9	6.7	88	355	8.3	8.2	233	1614	0.7	188	class1
178	70.5	396	176	70.2	188	1265	77.8	0.2	5.5	7.8	4	90	368	8	8	166	1380	2	165	class1
205	67.4	455	184	68.1	188	1224	77.8	0.2	5.5	7.7	4	90	333	8.1	7.9	120	1217	3.5	168	class1
195	75	427	192	74.6	236	1426	80.8	0.4	7	7.7	4.5	104	334	7.7	7.7	208	1375	1	186	class1
152	67.8	353	174	76.5	162	1315	74	0.8	3	7.7	4	100	270	7.8	7.8	196	1322	2	127	class1
210	72	419	186	71.2	208	1310	72.9	1	4.5	7.9	0.4	118	341	8	8.2	194	1333	1.2	157	class1
226	74.1	424	170	71.9	356	1406	78	0.5	4.5	7.7	4	118	352	7.7	7.8	193	1324	1	187	class1
220	68.4	490	190	69.6	224	1392	80.4	0.4	6	8.1	5.2	92	363	8	8.1	206	1505	1.5	178	class1
160	67.9	298	162	68.1	188	1241	74.5	0.7	4.5	7.7	4	110	278	7.7	7.7	192	1243	2	118	class1
230	65.5	518	220	71.3	202	1617	81.6	0.2	4	7.8	5.5	76	364	7.9	7.8	232	1593	1	155	class1
225	74.2	466	186	81.8	176	1220	87.2	0.2	4	7.5	4.5	94	314	7.5	7.6	199	1208	1.2	139	class1
204	70.8	374	192	71.1	184	1494	82	0.5	4.5	7.7	6.5	100	259	7.8	7.9	190	1462	3.5	121	class1
199	74	431	200	78.3	184	1302	75	0.4	4.7	7.6	5	96	269	7.7	7.8	202	1307	3.5	124	class1
232	68.9	526	212	75	240	1542	83	0.2	5.5	7.8	4.5	106	411	7.8	7.8	227	1583	4.5	172	class1
184	67.1	401	158	69.8	172	1292	74.5	0.7	3.5	7.8	4	102	345	7.8	7.8	170	1413	1.7	167	class1
180	69.7	338	132	68.8	160	1332	72.3	0.6	2.5	7.7	2.7	94	319	7.7	7.7	155	1366	1.75	152	class1
145	77.8	345	162	73.5	166	1432	85.1	0.5	3.8	7.6	3.2	94	302	7.6	7.7	148	1415	1	137	class1
200	68.4	420	158	68.8	160	1260	70.9	1	3.5	7.8	2.5	110	376	7.7	7.7	179	1256	4.5	183	class1
174	60.6	416	188	69.9	166	1301	69.8	0.4	3.5	7.6	4.5	106	368	7.6	7.6	178	1267	2	164	class1
228	45.2	583	504	42.2	436	1016	68.4	0.5	7.5	7.5	7.3	76	236	7.5	7.5	246	1079	3.5	85	class1
206	49.3	476	300	50.8	252	1636	72.2	1.3	3.5	7.9	3.7	108	394	8	8.1	202	1579	10	186	class1
231	58.1	407	172	54.8	248	1379	72.2	0.7	4.6	8	2.5	108	379	8	8.1	177	1454	2	188	class1
183	51.9	381	216	56.4	220	1415	78.9	0.2	3.5	7.7	3.5	76	246	7.8	7.8	198	1453	1.2	123	class1
144	58.5	281	164	53.1	192	1075	70.5	0.4	2.5	7.8	2.3	88	233	7.8	7.8	161	1068	1.2	118	class1
158	62.5	336	192	56.5	184	1320	63	0.3	4	7.6	5.5	92	198	7.8	7.3	156	1327	2	79	class1
234	25.5	457	1004	25.4	1384	1218	65.7	0.3	35	7.7	24	140	323	7.8	7.9	189	1257	1	156	class2
233	61.9	500	252	49.4	348	1512	68.6	0.3	7.5	7.8	4.7	102	327	7.8	7.9	215	1427	1	147	class1
224	65.6	578	256	53.6	276	1510	64.7	0.3	6.5	7.7	5.5	102	319	7.6	7.6	225	1486	1	119	class1
352	54.5	533	264	46.5	344	1361	51.3	1.5	6.5	7.5	5.5	160	361	7.4	7.4	316	1453	1.5	190	class1
361	58.9	504	292	51.1	352	1109	65.6	0.8	7	7.8	6.5	128	256	7.8	7.8	238	1113	0.6	147	class1
297	35.9	324	362	32.8	804	1093	53.2	0.6	13	7.9	5	124	204	7.7	8	125	1086	2	84	class1
416	53.4	404	232	43.4	544	1310	61.4	0.4	11	7.7	5	114	299	7.8	7.8	199	1366	1.2	143	class1
160	22.8	259	456	26.7	584	1007	47.6	0.5	7.5	7.6	4	126	176	7.6	7.7	138	1039	3	101	class1
245	52.8	396	216	47.6	328	1282	56.7	0.3	5	7.7	3	120	244	7.8	7.7	198	1321	1.5	109	class1
364	63.6	465	214	50.5	388	1308	70	0.4	7.5	7.7	5.5	100	261	7.6	7.5	319	1344	1	143	class1
259	62.7	444	236	50	440	1400	59	0.3	10	7.6	4.9	122	246	7.7	7.6	236	1439	6	140	class1
269	57.3	433	300	50.5	436	1395	68.5	0.3	11.5	7.9	7	108	294	7.9	7.9	192	1335	8	138	class1
265	53.7	488	268	57.5	348	1212	79.5	0.2	8.5	7.7	5.8	88	306	7.9	7.7	211	1274	8	151	class1
188	64.1	402	184	63.3	218	1127	77.8	0.2	3	7.5	2.8	90	233	7.5	7.5	200	1140	1.2	122	class1
212	31.5	667	1016	36.4	572	1478	57.4	0.2	12.5	7.9	22	108	210	7.8	7.7	257	1422	7	135	class1
198	65.5	456	232	55.6	216	1262	57.1	0.2	4.5	7.9	5	84	266	7.8	7.8	183	1247	1.2	107	class1
196	62.5	380	192	55.6	216	1339	70.6	0.1	6	7.8	4.5	68	270	7.8	7.9	183	1403	0.7	128	class1
210	61	372	164	64.6	192	1623	72.9	0.1	3	7.8	3	74	278	7.8	7.7	185	1508	0.8	124	class1
292	67.9	436	218	67.2	238	1095	80	0.2	5.5	7.5	6	80	284	7.6	7.6	285	1149	1	160	class1
213	60.4	588	328	60.3	272	1392	70.7	0.8	6.5	7.8	7	116	344	7.7	7.7	257	1432	3	174	class1
328	66.1	467	224	62.8	312	1409	77.3	0.2	9.5	7.9	6.5	88	338	7.9	7.9	268	1376	1.2	152	class1
213	67.4	357	172	62.3	212	1160	80	0.3	5.5	7.7	4	80	255	7.7	7.8	189	1232	1.4	123	class1
211	61.8	388	204	64.5	214	1026	76.7	0.2	5	7.5	4	86	222	7.5	7.5	312	1020	3	111	class1
291	54.4	299	180	65.4	324	1615	60.4	0.2	3.5	7.9	2.5	96	265	8	8.1	243	1630	1.5	166	class1
258	61	447	164	53.1	256	1177	69.8	0.2	5	7.9	5.5	86	285	7.7	7.7	215	1207	0.8	141	class1
226	62.5	356	192	55.6	288	1434	71.4	0.1	10	7.7	7	84	257	7.9	7.9	191	1427	1.2	130	class1
190	59.3	274	162	58.4	178	937	76.9	0.1	2.8	7.8	3	78	212	7.9	7.9	283	944	1.2	117	class1
429	61.3	529	248	65.5	220	1179	63.8	1.5	5	7.8	6.3	138	337	8	8	216	1294	0.6	140	class1
319	57.4	468	202	58.9	292	1525	55.7	0.2	7	7.8	4.5	230	353	8	7.8	163	1587	0.7	146	class1
409	65.7	532	210	58.9	224	1535	65.3	0.2	6	7.8	5	98	360	7.6	7.7	431	1561	0.8	210	class1
182	63.5	404	192	61	210	1056	76.9	0.4	4.5	7.7	3.5	104	243	7.7	7.8	174	1064	1.5	140	class1
287	57.6	376	184	45.8	236	1226	73.8	0.2	3.5	7.8	4	84	255	7.7	7.7	327	1223	2	102	class1
163	30.4	238	316	29.1	344	1079	63	0.2	4	7.6	3	92	214	7.7	7.6	184	1113	1	122	class1
182	32.9	234	292	32.6	344	1140	52	0.3	4	7.9	3	100	218	7.8	7.8	159	1125	3	111	class1
190	55.6	330	180	60	200	1376	76.3	0.3	2.5	7.9	3	76	260	7.9	7.9	275	1392	1	118	class1
159	57.7	302	208	60.9	276	1160	77.5	0.2	3.5	8	3.3	80	233	8	8.4	134	1201	1.2	116	class1
210	46.5	188	172	46.9	192	940	78.9	0.1	2	7.7	2.5	76	176	7.7	7.6	132	924	0.7	102	class1
133	45.5	297	176	44.2	172	1140	61.9	0.3	1.3	7.9	1.5	84	246	8	7.8	132	1072	1.2	98	class1
133	56.8	288	162	63.2	152	1050	77.1	0.2	2.5	8	2.3	70	220	8.1	8.1	133	1116	1	97	class1
153	48.2	488	456	49.2	252	1147	67.4	0.4	4	8	11	92	248	7.9	7.9	224	1224	2	110	class1
190	71.9	395	178	71.8	156	1038	72.5	0.7	3.5	7.7	3.5	102	281	7.8	7.9	200	1063	2	127	class1
97	38.1	241	236	33.9	248	1179	57.1	0	3.5	8	4	70	190	8	7.8	87	1231	5	78	class1
161	37	336	330	37.9	264	1234	75	0.7	5.5	7.9	6	80	316	8	8.1	132	1327	1.5	126	class1
198	58	321	176	58.3	192	1335	78.9	0.3	4	7.7	3.5	76	281	7.8	7.7	175	1418	2	141	class1
228	64.1	348	156	65.1	252	1340	78.2	0.7	5.9	7.9	3.1	110	329	7.9	7.9	162	1398	2	135	class1
181	53.5	317	180	59.7	268	1362	71.2	0.5	4.6	7.6	3.5	104	285	7.9	7.9	135	1417	1.75	114	class1
109	77	325	122	93.5	124	1026	96.9	0.4	3.7	7.8	3.5	64	227	7.9	7.9	91	1063	1.5	81	class1
238	41.7	725	350	42.1	428	1265	47.2	0.4	7.5	7.8	5	106	306	7.8	7.8	210	1262	3	136	class1
189	62.2	219	148	60.3	146	1530	76.9	0.3	2	7.5	3	78	192	7.5	7.5	184	1553	1.4	92	class1
89	68.9	298	116	70	120	1119	81	0.2	2.3	7.7	2	74	250	7.7	7.5	89	1103	1.2	79	class1
295	66.7	382	174	73.6	212	1205	75.6	0.3	5.5	7.8	7	90	312	7.9	8.1	155	1319	1.2	147	class1
192	69.3	350	150	75	160	1304	75.6	0.2	2.5	7.7	3	82	312	7.8	7.8	159	1206	0.7	166	class1
127	39.4	133	142	46.5	172	860	67.7	0.3	1.8	7.6	2	62	124	7.6	7.5	75	838	15	73	class1
148	61.3	264	124	52	150	1087	61.8	0.3	3	7.8	2.6	68	232	7.8	7.7	181	1047	0.6	122	class1
207	56.3	356	206	53.2	222	1300	69.7	0.3	3.5	7.9	4	66	184	7.9	7.9	254	1347	1.5	91	class1
308	50	556	184	51.5	194	1278	71.8	0.2	3	7.8	3.3	78	216	7.8	7.8	355	1376	1	122	class1
279	48.1	444	324	43.2	380	1319	77.8	0.4	6	7.9	6.5	90	347	7.9	7.9	262	1362	1	161	class1
286	71.2	549	236	67.1	280	1397	69.6	0.4	8	7.8	4	112	416	7.9	7.8	237	1368	3	176	class1
372	64.4	348	174	75.8	124	1110	78.8	1	2.5	7.4	3.5	104	364	7.6	7.6	238	1105	2	172	class1
164	57.4	398	188	58.8	204	1179	64.5	0.1	4.3	7.3	4	62	204	7.3	7.3	137	1164	1	81	class1
151	27.7	436	476	28.8	416	1603	56.4	0.1	5	7.8	4.5	78	269	7.8	7.6	131	1479	3.5	114	class1
161	53.8	391	156	58.1	172	1358	72.7	0.3	3	7.9	3.5	66	285	7.8	7.7	156	1412	0.9	116	class1
135	46.8	304	222	55.2	250	1087	72.9	0.2	3.5	7.8	3.5	96	260	7.7	7.7	135	1143	2.5	107	class1
194	58.1	416	248	63.5	252	1330	71.2	0.2	4.5	7.8	5.5	104	304	7.7	7.7	189	1931	2.5	114	class1
253	63.8	532	282	61.5	296	1444	75.6	0.2	5	7.8	5.3	90	320	7.6	7.6	215	1437	1.75	120	class1
242	29.5	614	692	31.8	716	1589	23.8	0.2	9.5	7.7	8	244	246	7.7	7.7	235	1632	2	94	class1
221	46.3	452	320	47.4	388	1160	73.7	0.2	5.5	7.7	4.5	76	216	7.7	7.6	166	1137	1.5	87	class1
161	49.3	369	284	44.9	312	991	62.2	0.1	4	7.3	4	90	198	7.5	7.3	139	986	2	87	class1
197	51.3	394	226	47	302	1324	65.2	0.2	4	7.7	5.5	92	257	7.6	7.6	172	1306	1.3	119	class1
265	53.1	324	226	53.4	236	1390	69.4	0.2	4.5	7.6	4	98	179	7.6	7.6	268	1389	1.7	110	class1
149	50	200	176	51.2	172	859	65.8	0.2	2	7.6	3	76	178	7.6	7.6	176	860	6.5	90	class1
193	57.3	243	164	55.8	208	1095	76.7	0.3	3	7.6	3.2	86	165	7.6	7.6	146	1089	5	68	class1
235	31.6	400	564	28.6	798	1554	48.3	0.4	11	7.6	7	120	151	7.6	7.6	148	1515	3.6	49	class1
241	39.8	246	186	25.3	300	1288	37.2	0.2	4.5	7.7	2.5	86	202	7.7	7.7	123	1328	2.42	101	class1
161	62.7	410	204	57.8	256	1490	68.2	0.3	4.5	7.7	4.5	88	251	7.7	7.7	133	1421	0.9	69	class1
300	57.3	388	178	53.3	240	1620	69	0.2	4.5	7.7	4	84	243	7.6	7.5	237	1571	1	113	class1
110	55.7	380	244	60.2	196	1453	72.4	1.5	3.5	7.8	5	116	204	7.8	7.8	199	1430	1.14	104	class1
396	53.3	941	304	57.5	320	1454	67.9	0.2	7	7.8	6.5	106	243	7.8	7.8	214	1528	3.4	107	class1
212	56.8	681	370	64.4	348	1396	77.3	0.2	6	7.6	6	88	350	7.6	7.5	438	1446	4	148	class1
284	67.5	282	166	65.1	172	950	76.8	0.5	2	7.8	2	112	259	7.8	7.8	255	965	1.95	164	class1
59	40.7	161	172	45.2	146	1350	63.5	0.1	1.1	7.9	2	63	114	8	8.1	64	1315	0.3	44	class1
86	20.3	152	364	19.9	412	1403	46.3	0.2	2.5	8	1.6	80	114	8.1	8	66	1383	0.35	49	class1
63	25.6	156	242	24.8	266	1400	47.6	0.2	1.9	7.8	1.4	84	112	7.9	7.7	48	1403	2.5	37	class1
150	39.1	126	138	38.9	180	882	59.7	0.1	1.9	8.2	1.4	62	100	8.1	8.1	69	902	2	53	class1
125	48.2	188	112	41.2	194	1031	61.1	0.2	2.8	7.9	1.3	54	101	7.9	7.8	70	1074	1.2	44	class1
74	43.9	206	132	57.1	112	828	64.5	0.1	1.2	7.9	1.5	62	158	7.8	7.8	95	856	1	47	class1
71	30.6	256	248	28.9	270	910	45.1	0.3	3	7.9	2.5	71	120	7.9	7.8	77	931	2	26	class1
85	64.6	197	130	61.6	146	1135	79.6	0.2	2.5	7.8	2	54	123	7.7	7.7	58	1169	0.3	44	class1
94	59.1	302	176	59.2	152	1120	64.5	1.2	2.5	7.6	3	107	316	7.6	7.5	95	1145	0.7	48	class1
100	65.1	470	172	64.6	192	1207	72.5	0.2	4	7.4	4.5	69	213	7.4	7.4	112	1208	0.27	74	class1
181	55.5	747	310	53	264	1059	65.5	1	4.7	8.1	6	110	353	8.2	8.2	145	1056	1.3	118	class1
232	76.5	354	162	71.3	202	1443	81.3	0.5	4	8.2	3.5	96	287	8	7.9	253	1455	0.4	162	class1
164	71.9	310	128	70.3	148	1520	80.5	0.2	3	8.1	3	82	237	8.2	8.2	154	1350	0.47	126	class1
286	73.7	345	152	74.4	156	1552	83.8	0.2	3.5	8.2	4.3	74	310	8.2	8.2	172	1500	1.2	140	class1
278	84.8	348	184	78	200	1337	89.5	0.2	5.5	8.3	4.5	76	264	8.3	8.3	181	1479	1.5	124	class1
178	75.3	387	162	79.5	156	1344	84	0.6	3	7.9	3.8	100	312	7.9	7.9	176	1331	1.02	155	class1
241	76.4	448	178	76.7	180	1325	77.8	0.5	4.5	7.9	5	90	226	8	8.1	236	1259	0.5	150	class1
148	57	294	186	61	154	1006	71.1	0.2	2.8	7.9	4	90	204	8	8.1	151	1000	1.8	94	class1
140	40.6	294	256	38.5	260	1456	55.6	0.2	2.5	8	3	90	172	8.1	8.2	139	1361	1.5	81	class1
117	62.5	220	128	55.1	138	1444	68.4	0.3	1.2	7.9	1.5	76	161	7.9	7.8	119	1493	1.58	91	class1
157	73.2	371	142	71.4	154	1440	90	0.2	4	7.9	4.5	80	197	8	8	111	1437	1.4	109	class1
235	61.2	310	170	51.1	270	1065	66.7	0.5	5.5	7.8	2.5	108	227	7.8	7.7	283	1100	3.4	110	class1
205	33.6	341	512	33.8	520	915	64.2	0.2	7.5	7.9	6	106	200	7.9	7.9	313	976	3.6	107	class1
375	45.1	610	452	43.9	556	1313	49.1	2.5	10	7.7	8	212	323	7.7	7.7	300	1312	6	150	class1
296	57.6	416	236	54.2	384	1447	66.7	0.4	7	7.7	4.5	108	270	7.6	7.7	192	1445	5.8	148	class1
123	38.5	237	234	42.1	228	1190	34.5	0.2	2	7.4	1.5	110	175	7.4	7.3	129	1202	1.97	73	class1
157	50	287	168	53.2	188	1906	58.7	0.2	2	7.8	2	92	198	7.8	7.9	122	2130	2.7	99	class1
110	66.7	271	144	70.7	164	1221	73	0.2	3	7.8	4.5	74	179	8	8	90	1209	1.3	78	class1
134	45.4	555	282	48.1	208	850	60.5	0.2	3.5	7.9	6.5	76	160	8	8	140	890	4.8	44	class1
170	47.6	243	210	52.2	138	848	75.7	0.3	1.5	8	2.5	74	133	7.9	7.9	155	858	0.8	89	class1
197	51	361	208	53.2	188	1015	60.5	0.3	4	8.1	5	86	204	8.2	8.2	157	931	3.5	93	class1
184	60.5	246	172	69.2	156	1631	72.1	0.4	3.8	8.2	3.5	86	165	8.3	8.4	195	1564	1.5	92	class1
177	52.6	269	156	52.6	152	1082	71.1	0.2	2.5	8	2.5	76	165	7.9	8.1	102	1180	3.7	68	class1
165	68.7	173	134	68.4	114	967	70	0.3	2	7.8	2.5	100	202	7.8	7.8	174	980	1.6	104	class1
154	13.2	211	880	13.7	1108	1745	44.1	0.4	7	8	5.5	118	111	7.9	8.1	109	1534	2.5	46	class2
115	17.8	284	518	20	460	1048	43.3	0.5	4	8	4	134	215	7.9	7.9	120	1046	3.5	92	class1
166	43.9	553	528	45	516	1105	59.5	1.4	8.5	7.9	7	158	265	7.8	7.7	275	1174	2.07	84	class1
192	75.8	337	132	68.6	204	1568	77.8	1.8	4.5	7.9	2.5	126	332	7.9	7.8	169	1526	0.8	137	class1
158	66.2	303	148	65.8	158	1069	86.5	0.4	3	7.9	2.5	74	248	8	7.9	168	1070	0.7	92	class1
183	73	391	148	69.4	170	1551	86	0.9	4	7.9	4.5	86	313	7.9	7.8	161	1505	2.5	151	class1
278	63.6	471	242	60.6	340	1158	73.6	0.4	6.5	7.9	5.5	106	277	8	8	202	1160	1.6	118	class1
98	49.2	180	122	45.9	122	990	62.9	0.2	1.8	7.6	2.5	70	180	7.7	7.7	72	986	1.7	61	class1
125	47.4	325	228	50.5	218	1229	57.4	1.3	3	7.8	3.5	136	368	7.7	7.4	183	1254	4.2	97	class1
159	60.2	447	196	60.6	188	1105	78.4	0.4	3.5	7.8	4.5	74	247	8.3	8.1	136	1120	0.62	114	class1
323	59.4	812	350	59.8	358	1512	70.7	1.2	7.3	8.1	0.7	150	412	8.1	8.1	227	1592	10	175	class2
170	79.5	401	156	73.2	224	1513	90.7	0.4	5.5	8.1	4	86	296	8.2	8.1	185	1593	6.25	149	class1
225	60.7	507	356	60.7	300	1672	76.6	0.4	8	8.1	9	94	293	8.2	8.2	240	1663	2.98	135	class1
252	75.5	469	212	70.7	246	1145	84.4	0.3	6.5	8.1	5	90	257	7.9	7.9	204	1186	7.6	154	class1
375	73.6	411	174	67.1	292	1339	78.4	0.5	8	7.9	4.5	102	319	7.9	7.7	254	1350	4.19	121	class1
264	76.1	351	134	73.2	142	1341	83.7	0.3	2.5	8.1	2.5	98	234	8.1	8.1	198	1300	0.8	138	class1
117	73.3	444	172	71.7	184	1658	83	0.5	4	8.1	3	94	315	8.2	8.2	127	1629	1.2	66	class1
220	77.8	600	216	74.5	204	1566	76.7	0.4	5.3	8.2	5	86	328	8.3	8.4	249	1583	3	161	class2
243	74.6	461	126	76.1	142	1113	78.3	0.5	2.5	8	2.5	92	279	8.1	7.9	228	1104	0.5	122	class1
285	70.9	524	158	66.7	186	1178	70.7	0.3	5.5	8.1	5	82	304	8.2	8.3	230	1217	0.8	117	class1
231	77.4	487	168	70.4	196	1353	86.7	0.2	5.5	8.1	3.5	60	341	8.1	7.9	203	1338	1.67	107	class1
207	73.6	531	220	65.3	288	1514	72.2	0.4	11	8	7	72	257	8.2	8.2	133	1535	1.5	92	class1
189	74	384	154	75.2	298	1260	80	0.3	6.5	8	4.5	80	273	8.1	8	131	1300	0.5	114	class1
182	65.8	332	158	67	194	1133	80	0.3	3.3	7.9	4	90	256	7.8	7.7	241	1148	0.9	118	class1
106	71.7	347	120	74.6	134	1385	88.2	0.4	2.5	8.1	2.5	68	279	8.2	8.3	113	1377	0.35	98	class1
222	70.3	434	128	71.9	114	1496	71.4	1	2.5	8.2	4	84	271	8.3	8.1	203	1533	0.35	134	class1
240	69.9	337	146	71.4	168	1146	78.3	0.4	4	7.9	3.5	92	302	7.8	7.6	224	1144	0.86	134	class1
273	72.3	470	166	75.5	196	1343	73.9	0.5	5	8.2	5.5	92	337	8.3	8.2	223	1362	1	161	class2
257	72.2	350	144	75	152	1233	97.7	0.6	4	8.1	5	86	300	8.3	8.2	346	1230	1	174	class2
221	76.6	545	188	73.9	230	1329	80.9	0.4	5	8.2	5.3	94	337	8.2	8.2	148	1354	2.7	152	class1
331	71.2	532	250	69.3	254	1379	73.9	0.4	6	8	6.5	92	299	8	7.9	319	1453	1.2	150	class1
268	67.2	594	256	67.2	238	1380	66.1	0.9	5.5	8.2	7	118	372	8.3	8.2	334	1400	2.6	180	class2
258	69.2	420	208	72.7	198	1474	71.1	3	3.3	8.1	6.5	152	309	8.2	8.1	311	1559	2.6	189	class2
282	84.2	591	202	80	210	1380	90.6	0.5	5.5	8.2	6	106	290	8	8.1	238	1372	0.96	153	class2
122	73.7	289	114	64.4	146	1103	77.1	0.3	2	7.6	2.5	70	242	7.6	7.5	122	1060	1.3	97	class1
140	55.7	295	158	54.4	158	1436	73	0.3	2.5	7.9	3	74	206	7.9	7.8	133	1448	4.1	92	class1
154	56.3	272	160	57.5	174	1543	74.4	0.3	3	7.8	2	86	295	7.9	7.9	142	1485	1.7	114	class1
145	67.6	510	136	66.2	148	1235	69.4	0.3	2.5	7.7	3	72	204	7.7	7.9	152	1266	0.94	75	class1
121	34.3	212	280	36.1	288	651	44.9	0.5	3	7.5	3.5	98	149	7.6	7.6	100	646	3.5	73	class1
84	32.2	204	180	34.3	198	940	45.9	0.3	1.5	7.5	1.8	74	125	7.4	7.3	80	912	3.7	45	class1
122	56.7	189	120	51.4	144	1200	66.7	0.2	1.3	7.6	1.5	54	203	7.5	7.5	94	1206	0.6	71	class1
175	57.3	297	164	53.1	196	1000	59.2	0.5	2.5	7.8	2.5	98	250	7.7	7.6	135	1040	0.23	99	class1
